site,timestamp_chem,timestamp_spec,timestamp_q,timestamp_turb,q_cms,turb_exo2_FNU,SampleID,SampleID_diss,SampleID_TDN,SampleID_TN,type,DOC_mgL,DOC_runID,NO3_mgL,NH4_mgL,SRP_mgL,NO3_error,NH4_error,SRP_error,dissolved_runID,TDN_mgL,TDP_mgL,TDN_error,TDP_error,TDN_runID,TN_mgL,TP_mgL,TN_error,TP_error,TN_runID
Hungerford,7/10/14 9:30,NA,7/10/14 9:30,7/10/14 9:32,0.12898916,13.36,NA,NA,NA,NA,grab,7.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,7/14/14 10:15,NA,7/14/14 10:15,7/14/14 10:17,0.12898916,15.36,NA,NA,NA,NA,isco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,7/15/14 18:13,NA,7/15/14 18:15,7/15/14 18:17,1.18025786,8.47,NA,NA,NA,NA,isco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,7/15/14 18:43,NA,7/15/14 18:45,7/15/14 18:47,1.538164265,18.59,NA,NA,NA,NA,isco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,7/15/14 19:13,NA,7/15/14 19:15,7/15/14 19:17,1.636067325,20.41,NA,NA,NA,NA,isco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,7/15/14 22:28,NA,7/15/14 22:30,7/15/14 22:32,0.857493162,263.89,NA,NA,NA,NA,isco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,7/16/14 9:28,NA,7/16/14 9:30,7/16/14 9:32,0.307823532,46.41,NA,NA,NA,NA,isco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,7/16/14 14:43,NA,7/16/14 14:45,7/16/14 14:47,0.235743982,30.77,NA,NA,NA,NA,isco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,7/22/14 9:45,NA,7/21/14 18:00,7/22/14 9:47,NA,6.12,NA,NA,NA,NA,grab,NA,NA,1.043478008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hungerford,7/23/14 8:32,NA,7/21/14 18:00,7/23/14 8:32,NA,9.13,NA,NA,NA,NA,grab,NA,NA,0.547944373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
