[Header]	
System	TOC-L	
S/W Version	1.00	
User		
Date/Time	12/2/2019 11:46:54 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	NPOC	BLK	Untitled					0.5437		mg/L	1	10/29/2019 6:01:49 PM	
Unknown	NPOC	BLK	Untitled					0.3890		mg/L	2	10/29/2019 6:13:05 PM	
Unknown	NPOC	MD1901	Untitled					3.601		mg/L	3	10/29/2019 6:27:07 PM	
Unknown	NPOC	MD1902	Untitled					3.457		mg/L	4	10/29/2019 6:38:35 PM	
Unknown	NPOC	MD1903	Untitled					3.463		mg/L	5	10/29/2019 6:49:51 PM	
Unknown	NPOC	MD1904	Untitled					3.545		mg/L	6	10/29/2019 7:03:52 PM	
Unknown	NPOC	MD1905	Untitled					3.418		mg/L	7	10/29/2019 7:18:04 PM	
Unknown	NPOC	MD1906	Untitled					3.449		mg/L	8	10/29/2019 7:32:15 PM	
Unknown	NPOC	MD1907	Untitled					3.355		mg/L	9	10/29/2019 7:46:24 PM	
Unknown	NPOC	MD1908	Untitled					3.421		mg/L	10	10/29/2019 7:58:03 PM	
Unknown	NPOC	MD1909	Untitled					3.447		mg/L	11	10/29/2019 8:09:38 PM	
Unknown	NPOC	MD1910	Untitled					3.385		mg/L	12	10/29/2019 8:21:27 PM	
Unknown	NPOC	MD1911	Untitled					3.407		mg/L	13	10/29/2019 8:35:41 PM	
Unknown	NPOC	MD1912	Untitled					3.318		mg/L	14	10/29/2019 8:49:57 PM	
Unknown	NPOC	MD1913	Untitled					3.331		mg/L	15	10/29/2019 9:01:27 PM	
Unknown	NPOC	MD1914	Untitled					3.473		mg/L	16	10/29/2019 9:12:43 PM	
Unknown	NPOC	MD1915	Untitled					3.566		mg/L	17	10/29/2019 9:23:59 PM	
Unknown	NPOC	MD1916	Untitled					3.622		mg/L	18	10/29/2019 9:35:17 PM	
Unknown	NPOC	MD1917	Untitled					3.368		mg/L	19	10/29/2019 9:47:04 PM	
Unknown	NPOC	BLK	Untitled					0.4831		mg/L	20	10/29/2019 10:00:12 PM	
Unknown	NPOC	MD1918	Untitled					3.149		mg/L	21	10/29/2019 10:14:26 PM	
Unknown	NPOC	MD1919	Untitled					3.269		mg/L	22	10/29/2019 10:25:52 PM	
Unknown	NPOC	MD1920	Untitled					3.376		mg/L	23	10/29/2019 10:37:14 PM	
Unknown	NPOC	MD1921	Untitled					3.359		mg/L	24	10/29/2019 10:48:47 PM	
Unknown	NPOC	MD1922	Untitled					3.334		mg/L	25	10/29/2019 11:00:07 PM	
Unknown	NPOC	MD1923	Untitled					3.296		mg/L	26	10/29/2019 11:14:28 PM	
Unknown	NPOC	MD1924	Untitled					3.343		mg/L	27	10/29/2019 11:28:50 PM	
Unknown	NPOC	MD1925	Untitled					3.382		mg/L	28	10/29/2019 11:40:22 PM	
Unknown	NPOC	MD1926	Untitled					3.338		mg/L	29	10/29/2019 11:52:05 PM	
Unknown	NPOC	MD1927	Untitled					3.342		mg/L	30	10/30/2019 12:03:23 AM	
Unknown	NPOC	MD1928	Untitled					3.692		mg/L	31	10/30/2019 12:17:59 AM	
Unknown	NPOC	MD1929	Untitled					0.02796		mg/L	32	10/30/2019 12:32:00 AM	
Unknown	NPOC	MD1930	Untitled					3.224		mg/L	33	10/30/2019 12:46:12 AM	
Unknown	NPOC	MD1931	Untitled					3.466		mg/L	34	10/30/2019 12:57:51 AM	
Unknown	NPOC	MD1932	Untitled					3.695		mg/L	35	10/30/2019 1:09:28 AM	
Unknown	NPOC	MD1933	Untitled					3.911		mg/L	36	10/30/2019 1:21:11 AM	
Unknown	NPOC	MD1934	Untitled					3.977		mg/L	37	10/30/2019 1:32:40 AM	
Unknown	NPOC	MD1935	Untitled					3.490		mg/L	38	10/30/2019 1:46:45 AM	
Unknown	NPOC	MD1969	Untitled					3.637		mg/L	39	10/30/2019 1:58:14 AM	
Unknown	NPOC	BLK	Untitled					0.5538		mg/L	40	10/30/2019 2:12:01 AM	
Unknown	NPOC	MD1970	Untitled					3.586		mg/L	41	10/30/2019 2:26:15 AM	
Unknown	NPOC	MD1971	Untitled					3.468		mg/L	42	10/30/2019 2:40:31 AM	
Unknown	NPOC	MD1972	Untitled					3.463		mg/L	43	10/30/2019 2:54:42 AM	
Unknown	NPOC	MD1973	Untitled					3.466		mg/L	44	10/30/2019 3:07:45 AM	
Unknown	NPOC	MD1974	Untitled					3.620		mg/L	45	10/30/2019 3:19:19 AM	
Unknown	NPOC	MD1975	Untitled					3.598		mg/L	46	10/30/2019 3:31:03 AM	
Unknown	NPOC	MD1976	Untitled					3.504		mg/L	47	10/30/2019 3:42:14 AM	
Unknown	NPOC	MD1977	Untitled					3.558		mg/L	48	10/30/2019 3:53:37 AM	
Unknown	NPOC	MD1978	Untitled					3.538		mg/L	49	10/30/2019 4:05:05 AM	
Unknown	NPOC	MD1979	Untitled					3.428		mg/L	50	10/30/2019 4:19:00 AM	
Unknown	NPOC	MD1980	Untitled					3.541		mg/L	51	10/30/2019 4:30:35 AM	
Unknown	NPOC	MD1981	Untitled					3.461		mg/L	52	10/30/2019 4:44:47 AM	
