DateTimeS,r_timestamp,transect,dist_from_prev_m,dist_cum_m,lat,lon,elev
2019-07-03T14:10:00.00Z,7/3/2019 10:10,Main,0,-104.3072,271840.4448,448941.9443,0.3786
2019-07-03T14:11:00.00Z,7/3/2019 10:11,Main,48.23967248,-56.06752752,271863.414,448899.524,0.3556
2019-07-03T14:12:00.00Z,7/3/2019 10:12,Main,41.90236518,-14.16516235,271883.8167,448862.9243,0.3558
2019-07-03T14:13:00.00Z,7/3/2019 10:13,Main,45.36625133,31.20108899,271908.2199,448824.6806,0.3681
2019-07-03T14:14:00.00Z,7/3/2019 10:14,Main,54.08252531,85.2836143,271933.9242,448777.0969,0.354
2019-07-03T14:15:00.00Z,7/3/2019 10:15,Main,64.9653318,150.2489461,271963.7312,448719.3731,0.3607
2019-07-03T14:16:00.00Z,7/3/2019 10:16,Main,66.98136604,217.2303121,272000.85,448663.6174,0.3493
2019-07-03T14:17:00.00Z,7/3/2019 10:17,Main,63.92548358,281.1557957,272037.7283,448611.4019,0.3624
2019-07-03T14:18:00.00Z,7/3/2019 10:18,Main,61.59753721,342.7533329,272076.5406,448563.5703,0.3818
2019-07-03T14:19:00.00Z,7/3/2019 10:19,Main,67.13586923,409.8892022,272116.7345,448509.796,0.4056
2019-07-03T14:20:00.00Z,7/3/2019 10:20,Main,68.29399529,478.1831974,272157.9993,448455.3783,0.3858
2019-07-03T14:21:00.00Z,7/3/2019 10:21,Main,67.00461881,545.1878163,272196.7802,448400.7371,0.4003
2019-07-03T14:22:00.00Z,7/3/2019 10:22,Main,45.9071487,591.094965,272224.018,448363.7835,0.3937
2019-07-03T14:23:00.00Z,7/3/2019 10:23,Main,55.94060416,647.0355691,272258.0882,448319.4149,0.3967
2019-07-03T14:24:00.00Z,7/3/2019 10:24,Main,59.53891588,706.574485,272291.1324,448269.8875,0.3807
2019-07-03T14:25:00.00Z,7/3/2019 10:25,Main,72.56259404,779.137079,272327.7722,448207.2548,0.3923
2019-07-03T14:26:00.00Z,7/3/2019 10:26,Main,73.61281143,852.7498905,272367.7215,448145.4252,0.3578
2019-07-03T14:27:00.00Z,7/3/2019 10:27,Main,68.47670723,921.2265977,272404.2928,448087.5322,0.3629
2019-07-03T14:28:00.00Z,7/3/2019 10:28,Main,68.33512162,989.5617193,272442.7526,448031.0474,0.3606
2019-07-03T14:29:00.00Z,7/3/2019 10:29,Main,67.08707965,1056.648799,272481.1316,447976.0226,0.3458
2019-07-03T14:30:00.00Z,7/3/2019 10:30,Main,69.99500643,1126.643805,272523.2709,447920.1336,0.3286
2019-07-03T14:31:00.00Z,7/3/2019 10:31,Main,61.50285624,1188.146662,272560.7556,447871.374,0.3621
2019-07-03T14:32:00.00Z,7/3/2019 10:32,Main,79.86744845,1268.01411,272612.7866,447810.7804,0.3287
2019-07-03T14:33:00.00Z,7/3/2019 10:33,Main,75.52727248,1343.541383,272666.2629,447757.4451,0.2891
2019-07-03T14:34:00.00Z,7/3/2019 10:34,Main,77.00768354,1420.549066,272727.6445,447710.9426,0.3295
2019-07-03T14:35:00.00Z,7/3/2019 10:35,Main,72.68653014,1493.235596,272791.9827,447677.1206,0.3224
