LabID,Site,Transect,Datetime,Rep,Date,uMol/L N-NO3,uMol/L P-PO4,mg/L TN/TDN,mg/L TP/TDP
MD19_2-1,MissDelta,Dead Creek,8/14/2019 9:53,,8/14/2019,32.444,0.247,0.454,0.008
MD19_2-2,MissDelta,Dead Creek,8/14/2019 9:57,,8/14/2019,31.142,0.288,0.436,0.009
MD19_2-3,MissDelta,Dead Creek,8/14/2019 10:01,,8/14/2019,31.76,0.32,0.445,0.01
MD19_2-4,MissDelta,Dead Creek,8/14/2019 10:05,,8/14/2019,33.742,0.292,0.473,0.009
MD19_2-5,MissDelta,Dead Creek,8/14/2019 10:09,,8/14/2019,33.023,0.314,0.463,0.01
MD19_2-6,MissDelta,Dead Creek,8/14/2019 10:13,,8/14/2019,33.679,0.373,0.472,0.012
MD19_2-7,MissDelta,Dead Creek,8/14/2019 10:17,,8/14/2019,33.643,0.354,0.471,0.011
MD19_2-8,MissDelta,Dead Creek,8/14/2019 10:21,,8/14/2019,33.428,0.304,0.468,0.009
MD19_2-9,MissDelta,Dead Creek,8/14/2019 10:25,,8/14/2019,34.268,0.334,0.48,0.01
MD19_2-10,MissDelta,Dead Creek,8/14/2019 10:29,,8/14/2019,33.52,0.301,0.47,0.009
MD19_2-11,MissDelta,Dead Creek,8/14/2019 10:33,,8/14/2019,32.518,0.309,0.455,0.01
MD19_2-12,MissDelta,Dead Creek,8/14/2019 10:37,,8/14/2019,33.09,0.337,0.463,0.01
MD19_2-13,MissDelta,Dead Creek,8/14/2019 10:41,,8/14/2019,32.832,0.286,0.46,0.009
MD19_2-14,MissDelta,Dead Creek,8/14/2019 10:45,,8/14/2019,33.068,0.285,0.463,0.009
MD19_2-15,MissDelta,Dead Creek,8/14/2019 10:49,,8/14/2019,32.839,0.286,0.46,0.009
MD19_2-16,MissDelta,Dead Creek,8/14/2019 10:53,,8/14/2019,33.263,0.317,0.466,0.01
MD19_2-17,MissDelta,Dead Creek,8/14/2019 10:57,,8/14/2019,33.379,0.294,0.468,0.009
MD19_2-18,MissDelta,Dead Creek,8/14/2019 11:01,,8/14/2019,34.374,0.312,0.481,0.01
MD19_2-19,MissDelta,Dead Creek,8/14/2019 11:05,,8/14/2019,32.733,0.289,0.458,0.009
MD19_2-20,MissDelta,Dead Creek,8/14/2019 11:10,,8/14/2019,32.666,0.338,0.458,0.01
MD19_2-21,MissDelta,Main,8/14/2019 11:52,,8/14/2019,41.073,0.317,0.575,0.01
MD19_2-22,MissDelta,Main,8/14/2019 11:57,,8/14/2019,31.732,0.279,0.444,0.009
MD19_2-23,MissDelta,Main,8/14/2019 12:05,,8/14/2019,31.608,0.256,0.443,0.008
MD19_2-24,MissDelta,Main,8/14/2019 12:10,,8/14/2019,39.037,0.44,0.547,0.014
MD19_2-25,MissDelta,Main,8/14/2019 12:17,,8/14/2019,32.783,0.308,0.459,0.01
MD19_2-26,MissDelta,Main,8/14/2019 12:22,,8/14/2019,32.458,0.27,0.455,0.008
MD19_2-27,MissDelta,Main,8/14/2019 12:46,,8/14/2019,31.065,0.274,0.435,0.008
MD19_2-28,MissDelta,Main,8/14/2019 12:51,,8/14/2019,29.731,0.3,0.416,0.009
MD19_2-29,MissDelta,Main,8/14/2019 12:56,,8/14/2019,30.624,0.29,0.429,0.009
MD19_2-30,MissDelta,Main,8/14/2019 13:01,,8/14/2019,29.428,0.279,0.412,0.009
MD19_2-31,MissDelta,Main,8/14/2019 13:05,,8/14/2019,28.32,0.254,0.397,0.008
MD19_2-32,MissDelta,Main,8/14/2019 13:09,,8/14/2019,29.499,0.349,0.413,0.011
MD19_2-33,MissDelta,Main,8/14/2019 13:13,,8/14/2019,28.44,0.325,0.398,0.01
MD19_2-34,MissDelta,Main,8/14/2019 13:17,,8/14/2019,29.305,0.333,0.41,0.01
MD19_2-35,MissDelta,Main,8/14/2019 13:21,,8/14/2019,29.76,0.329,0.417,0.01
MD19_2-36,MissDelta,Main,8/14/2019 13:26,,8/14/2019,30.165,0.337,0.423,0.01
MD19_2-37,MissDelta,Main,8/14/2019 13:30,,8/14/2019,31.139,0.46,0.436,0.014
MD19_2-38,MissDelta,Main,8/14/2019 13:35,,8/14/2019,29.756,0.349,0.417,0.011
MD19_2-39,MissDelta,Main,8/14/2019 13:39,,8/14/2019,29.975,0.328,0.42,0.01
MD19_2-40,MissDelta,Main,8/14/2019 13:43,,8/14/2019,29.95,0.352,0.42,0.011
MD19_2-41,MissDelta,Main,8/14/2019 13:47,,8/14/2019,31.142,0.251,0.436,0.008
MD19_2-42,MissDelta,Main,8/14/2019 13:51,,8/14/2019,29.95,0.24,0.42,0.007
MD19_2-43,MissDelta,Main,8/14/2019 13:55,,8/14/2019,29.336,0.246,0.411,0.008
MD19_2-44,MissDelta,Main,8/14/2019 13:59,,8/14/2019,29.872,0.264,0.418,0.008
MD19_2-45,MissDelta,Main,8/14/2019 14:03,,8/14/2019,32.423,0.239,0.454,0.007
MD19_2-46,MissDelta,Main,8/14/2019 14:07,,8/14/2019,30.948,0.224,0.433,0.007
MD19_2-47,MissDelta,Main,8/14/2019 14:11,,8/14/2019,30.574,0.214,0.428,0.007
MD19_2-48,MissDelta,Dead Creek,10/21/2019 10:06,,10/21/2019,31.075,0.205,0.435,0.006
MD19_2-50,MissDelta,Dead Creek,10/21/2019 10:12,,10/21/2019,34.286,0.412,0.48,0.013
MD19_2-51,MissDelta,Dead Creek,10/21/2019 10:19,,10/21/2019,33.513,0.446,0.469,0.014
MD19_2-52,MissDelta,Dead Creek,10/21/2019 10:24,,10/21/2019,33.382,0.442,0.468,0.014
