LabID,Site,Transect,Datetime,Rep,Date,TN uMol/L N,TN mg/L N,TP uMol/L P,TP mg/L N
MD19_2-1,MissDelta,Dead Creek,8/14/2019 9:53,,8/14/2019,32.911,0.461004124,0.728,0.02252432
MD19_2-2,MissDelta,Dead Creek,8/14/2019 9:57,,8/14/2019,33.475,0.46890441,0.724,0.02240056
MD19_2-3,MissDelta,Dead Creek,8/14/2019 10:01,,8/14/2019,34.108,0.477771221,0.742,0.02295748
MD19_2-4,MissDelta,Dead Creek,8/14/2019 10:05,,8/14/2019,36.442,0.510464959,0.833,0.02577302
MD19_2-5,MissDelta,Dead Creek,8/14/2019 10:09,,8/14/2019,34.94,0.489425544,0.796,0.02462824
MD19_2-6,MissDelta,Dead Creek,8/14/2019 10:13,,8/14/2019,35.353,0.495210683,0.817,0.02527798
MD19_2-7,MissDelta,Dead Creek,8/14/2019 10:17,,8/14/2019,35.226,0.493431718,0.748,0.02314312
MD19_2-8,MissDelta,Dead Creek,8/14/2019 10:21,,8/14/2019,34.568,0.484214717,0.699,0.02162706
MD19_2-9,MissDelta,Dead Creek,8/14/2019 10:25,,8/14/2019,35.736,0.500575594,0.759,0.02348346
MD19_2-10,MissDelta,Dead Creek,8/14/2019 10:29,,8/14/2019,35.537,0.497788081,0.736,0.02277184
MD19_2-11,MissDelta,Dead Creek,8/14/2019 10:33,,8/14/2019,34.651,0.485377348,0.787,0.02434978
MD19_2-12,MissDelta,Dead Creek,8/14/2019 10:37,,8/14/2019,35.62,0.498950712,0.734,0.02270996
MD19_2-13,MissDelta,Dead Creek,8/14/2019 10:41,,8/14/2019,35.486,0.497073694,0.76,0.0235144
MD19_2-14,MissDelta,Dead Creek,8/14/2019 10:45,,8/14/2019,35.631,0.499104796,0.812,0.02512328
MD19_2-15,MissDelta,Dead Creek,8/14/2019 10:49,,8/14/2019,35.197,0.493025497,0.793,0.02453542
MD19_2-16,MissDelta,Dead Creek,8/14/2019 10:53,,8/14/2019,34.879,0.48857108,0.774,0.02394756
MD19_2-17,MissDelta,Dead Creek,8/14/2019 10:57,,8/14/2019,35.562,0.498138271,0.798,0.02469012
MD19_2-18,MissDelta,Dead Creek,8/14/2019 11:01,,8/14/2019,34.929,0.48927146,0.772,0.02388568
MD19_2-19,MissDelta,Dead Creek,8/14/2019 11:05,,8/14/2019,35.975,0.50392341,0.793,0.02453542
MD19_2-20,MissDelta,Dead Creek,8/14/2019 11:10,,8/14/2019,35.845,0.502102422,0.803,0.02484482
MD19_2-21,MissDelta,Main,8/14/2019 11:52,,8/14/2019,35.349,0.495154652,0.711,0.02199834
MD19_2-22,MissDelta,Main,8/14/2019 11:57,,8/14/2019,37.172,0.520690507,0.753,0.02329782
MD19_2-23,MissDelta,Main,8/14/2019 12:05,,8/14/2019,32.556,0.456031426,0.691,0.02137954
MD19_2-24,MissDelta,Main,8/14/2019 12:10,,8/14/2019,33.16,0.464492016,0.664,0.02054416
MD19_2-25,MissDelta,Main,8/14/2019 12:17,,8/14/2019,33.504,0.46931063,0.755,0.0233597
MD19_2-26,MissDelta,Main,8/14/2019 12:22,,8/14/2019,33.435,0.468344106,0.671,0.02076074
MD19_2-27,MissDelta,Main,8/14/2019 12:46,,8/14/2019,32.556,0.456031426,0.7,0.021658
MD19_2-28,MissDelta,Main,8/14/2019 12:51,,8/14/2019,33.066,0.463175302,0.789,0.02441166
MD19_2-29,MissDelta,Main,8/14/2019 12:56,,8/14/2019,34.188,0.478891829,0.793,0.02453542
MD19_2-30,MissDelta,Main,8/14/2019 13:01,,8/14/2019,31.775,0.44509149,0.693,0.02144142
MD19_2-31,MissDelta,Main,8/14/2019 13:05,,8/14/2019,30.367,0.425368789,0.674,0.02085356
MD19_2-32,MissDelta,Main,8/14/2019 13:09,,8/14/2019,31.633,0.443102411,0.722,0.02233868
MD19_2-33,MissDelta,Main,8/14/2019 13:13,,8/14/2019,31.283,0.438199751,0.765,0.0236691
MD19_2-34,MissDelta,Main,8/14/2019 13:17,,8/14/2019,31.413,0.440020739,0.739,0.02286466
MD19_2-35,MissDelta,Main,8/14/2019 13:21,,8/14/2019,32.932,0.461298283,0.777,0.02404038
MD19_2-36,MissDelta,Main,8/14/2019 13:26,,8/14/2019,32.523,0.455569175,0.685,0.0211939
MD19_2-37,MissDelta,Main,8/14/2019 13:30,,8/14/2019,34.26,0.479900376,0.854,0.02642276
MD19_2-38,MissDelta,Main,8/14/2019 13:35,,8/14/2019,33.301,0.466467088,0.782,0.02419508
MD19_2-39,MissDelta,Main,8/14/2019 13:39,,8/14/2019,34.246,0.47970427,0.828,0.02561832
MD19_2-40,MissDelta,Main,8/14/2019 13:43,,8/14/2019,32.751,0.458762908,0.787,0.02434978
MD19_2-41,MissDelta,Main,8/14/2019 13:47,,8/14/2019,31.481,0.440973256,0.766,0.02370004
MD19_2-42,MissDelta,Main,8/14/2019 13:51,,8/14/2019,33.54,0.469814904,0.788,0.02438072
MD19_2-43,MissDelta,Main,8/14/2019 13:55,,8/14/2019,33.659,0.471481808,0.812,0.02512328
MD19_2-44,MissDelta,Main,8/14/2019 13:59,,8/14/2019,36.543,0.511879727,0.858,0.02654652
MD19_2-45,MissDelta,Main,8/14/2019 14:03,,8/14/2019,34.231,0.479494156,0.771,0.02385474
MD19_2-46,MissDelta,Main,8/14/2019 14:07,,8/14/2019,32.737,0.458566801,0.677,0.02094638
MD19_2-47,MissDelta,Main,8/14/2019 14:11,,8/14/2019,33.696,0.47200009,0.768,0.02376192
MD19_2-48,MissDelta,Dead Creek,10/21/2019 10:06,,10/21/2019,33.45,0.46855422,0.6,0.018564
MD19_2-50,MissDelta,Dead Creek,10/21/2019 10:12,,10/21/2019,37.447,0.524542597,0.977,0.03022838
