SampleID,Site,Datetime,Rep,Date,uMol/L N-NO3,uMol/L N-NH4,uMol/L P-PO4,mg/L N-NO3,mg/L N-NH4,mg/L P-PO4
MD19_0001,MissDelta,5/17/2019 9:24,,5/17/2019,25.014,3.872,0.189,0.350363594,0.054233942,0.00584766
MD19_0002,MissDelta,5/17/2019 9:28,,5/17/2019,25.144,3.976,0.19,0.352184465,0.055690639,0.0058786
MD19_0003,MissDelta,5/17/2019 9:32,,5/17/2019,25.243,3.651,0.185,0.353571128,0.051138462,0.0057239
MD19_0004,MissDelta,5/17/2019 9:36,,5/17/2019,25.52,3.957,0.183,0.357450984,0.055424512,0.00566202
MD19_0005,MissDelta,5/17/2019 9:40,,5/17/2019,25.595,3.683,0.199,0.358501487,0.051586676,0.00615706
MD19_0006,MissDelta,5/17/2019 9:44,,5/17/2019,25.606,3.823,0.175,0.35865556,0.053547614,0.0054145
MD19_0007,MissDelta,5/17/2019 9:48,,5/17/2019,25.664,4.012,0.18,0.359467949,0.05619488,0.0055692
MD19_0008,MissDelta,5/17/2019 9:52,,5/17/2019,25.862,3.814,0.188,0.362241275,0.053421554,0.00581672
MD19_0009,MissDelta,5/17/2019 9:56,,5/17/2019,25.9,3.875,0.193,0.36277353,0.054275963,0.00597142
MD19_0010,MissDelta,5/17/2019 10:00,,5/17/2019,25.486,4.465,0.216,0.356974756,0.062539916,0.00668304
MD19_0011,MissDelta,5/17/2019 10:05,,5/17/2019,25.424,3.628,0.188,0.356106341,0.050816308,0.00581672
MD19_0012,MissDelta,5/17/2019 10:09,,5/17/2019,25.428,3.931,0.192,0.356162368,0.055060338,0.00594048
MD19_0013,MissDelta,5/17/2019 10:13,,5/17/2019,25.609,3.641,0.211,0.35869758,0.050998395,0.00652834
MD19_0014,MissDelta,5/17/2019 10:17,,5/17/2019,25.506,3.687,0.206,0.35725489,0.051642703,0.00637364
MD19_0015,MissDelta,5/17/2019 10:21,,5/17/2019,25.424,3.81,0.191,0.356106341,0.053365527,0.00590954
MD19_0016,MissDelta,5/17/2019 10:25,,5/17/2019,23.58,3.67,0.161,0.330277986,0.051404589,0.00498134
MD19_0017,MissDelta,5/17/2019 10:29,,5/17/2019,24.805,3.384,0.163,0.347436194,0.047398673,0.00504322
MD19_0018,MissDelta,5/17/2019 10:33,,5/17/2019,25.448,3.472,0.181,0.356442502,0.048631262,0.00560014
MD19_0019,MissDelta,5/17/2019 10:37,,5/17/2019,25.414,3.25,0.183,0.355966274,0.045521775,0.00566202
MD19_0020,MissDelta,5/17/2019 10:41,,5/17/2019,25.445,3.976,0.192,0.356400482,0.055690639,0.00594048
MD19_0021,MissDelta,5/17/2019 10:45,,5/17/2019,25.414,3.41,0.181,0.355966274,0.047762847,0.00560014
MD19_0022,MissDelta,5/17/2019 10:49,,5/17/2019,25.106,3.312,0.178,0.35165221,0.04639019,0.00550732
MD19_0023,MissDelta,5/17/2019 10:53,,5/17/2019,24.894,3.524,0.2,0.34868279,0.049359611,0.006188
MD19_0024,MissDelta,5/17/2019 10:57,,5/17/2019,24.921,3.755,0.173,0.349060971,0.052595159,0.00535262
MD19_0025,MissDelta,5/17/2019 11:02,,5/17/2019,24.497,3.319,0.192,0.34312213,0.046488237,0.00594048
MD19_0026,MissDelta,5/17/2019 11:06,,5/17/2019,23.361,3.485,0.165,0.327210519,0.04881335,0.0051051
