LabID,SampleID,Datetime,uMol/L N-NO3,uMol/L N-NH4,uMol/L N-NH4_corrected,uMol/L P-PO4,mg/L N-NO3,mg/L N-NH4,mg/L N-NH4_corrected,mg/L P-PO4
MD19_2-1,MD19_069,8/14/19 9:53,15.701,1.44,#REF!,0.144,0.22,0.02,#REF!,0.004
MD19_2-2,MD19_070,8/14/19 9:57,15.974,0.995,#REF!,0.061,0.224,0.014,#REF!,0.002
MD19_2-3,MD19_071,8/14/19 10:01,16.222,1.114,#REF!,0.095,0.227,0.016,#REF!,0.003
MD19_2-4,MD19_072,8/14/19 10:05,16.936,1.21,#REF!,0.068,0.237,0.017,#REF!,0.002
MD19_2-5,MD19_073,8/14/19 10:09,16.856,1.264,#REF!,0.14,0.236,0.018,#REF!,0.004
MD19_2-6,MD19_074,8/14/19 10:13,16.926,1.056,#REF!,0.139,0.237,0.015,#REF!,0.004
MD19_2-7,MD19_075,8/14/19 10:17,17.319,1.267,#REF!,0.065,0.243,0.018,#REF!,0.002
MD19_2-8,MD19_076,8/14/19 10:21,17.724,1.021,#REF!,0.068,0.248,0.014,#REF!,0.002
MD19_2-9,MD19_077,8/14/19 10:25,17.807,1.001,#REF!,0.081,0.249,0.014,#REF!,0.003
MD19_2-10,MD19_078,8/14/19 10:29,18.044,1.226,#REF!,0.07,0.253,0.017,#REF!,0.002
MD19_2-11,MD19_079,8/14/19 10:33,18.03,1.098,#REF!,0.062,0.253,0.015,#REF!,0.002
MD19_2-12,MD19_080,8/14/19 10:37,18.081,1.017,#REF!,0.088,0.253,0.014,#REF!,0.003
MD19_2-13,MD19_081,8/14/19 10:41,17.148,0.841,#REF!,0.063,0.24,0.012,#REF!,0.002
MD19_2-14,MD19_082,8/14/19 10:45,17.851,0.771,#REF!,0.052,0.25,0.011,#REF!,0.002
MD19_2-15,MD19_083,8/14/19 10:49,17.621,0.832,#REF!,0.05,0.247,0.012,#REF!,0.002
MD19_2-16,MD19_084,8/14/19 10:53,17.534,0.777,#REF!,0.134,0.246,0.011,#REF!,0.004
MD19_2-17,MD19_085,8/14/19 10:57,17.647,0.809,#REF!,0.069,0.247,0.011,#REF!,0.002
MD19_2-18,MD19_086,8/14/19 11:01,17.709,0.806,#REF!,0.048,0.248,0.011,#REF!,0.001
MD19_2-19,MD19_087,8/14/19 11:05,17.658,0.729,#REF!,0.052,0.247,0.01,#REF!,0.002
MD19_2-20,MD19_088,8/14/19 11:10,17.461,0.732,#REF!,0.082,0.245,0.01,#REF!,0.003
MD19_2-21,MD19_089,8/14/19 11:52,15.289,1.085,#REF!,0.074,0.214,0.015,#REF!,0.002
