LabID,SampleID,Date,Time,TDN uMol/L N,TDN mg/L N,TDP uMol/L P,TDP mg/L P
MD19_2-1,MD19_069,8/14/2019,9:53,32.444,0.454462574,0.247,0.00764218
MD19_2-2,MD19_070,8/14/2019,9:57,31.142,0.436224679,0.288,0.00891072
MD19_2-3,MD19_071,8/14/2019,10:01,31.76,0.444881376,0.32,0.0099008
MD19_2-4,MD19_072,8/14/2019,10:05,33.742,0.472644439,0.292,0.00903448
MD19_2-5,MD19_073,8/14/2019,10:09,33.023,0.462572975,0.314,0.00971516
MD19_2-6,MD19_074,8/14/2019,10:13,33.679,0.47176196,0.373,0.01154062
MD19_2-7,MD19_075,8/14/2019,10:17,33.643,0.471257687,0.354,0.01095276
MD19_2-8,MD19_076,8/14/2019,10:21,33.428,0.468246053,0.304,0.00940576
MD19_2-9,MD19_077,8/14/2019,10:25,34.268,0.480012437,0.334,0.01033396
MD19_2-10,MD19_078,8/14/2019,10:29,33.52,0.469534752,0.301,0.00931294
MD19_2-11,MD19_079,8/14/2019,10:33,32.518,0.455499137,0.309,0.00956046
MD19_2-12,MD19_080,8/14/2019,10:37,33.09,0.463511484,0.337,0.01042678
MD19_2-13,MD19_081,8/14/2019,10:41,32.832,0.459897523,0.286,0.00884884
MD19_2-14,MD19_082,8/14/2019,10:45,33.068,0.463203317,0.285,0.0088179
MD19_2-15,MD19_083,8/14/2019,10:49,32.839,0.459995576,0.286,0.00884884
MD19_2-16,MD19_084,8/14/2019,10:53,33.263,0.465934799,0.317,0.00980798
MD19_2-17,MD19_085,8/14/2019,10:57,33.379,0.46755968,0.294,0.00909636
MD19_2-18,MD19_086,8/14/2019,11:01,34.374,0.481497242,0.312,0.00965328
MD19_2-19,MD19_087,8/14/2019,11:05,32.733,0.458510771,0.289,0.00894166
MD19_2-20,MD19_088,8/14/2019,11:10,32.666,0.457572262,0.338,0.01045772
MD19_2-21,MD19_089,8/14/2019,11:52,41.073,0.575334155,0.317,0.00980798
MD19_2-22,MD19_090,8/14/2019,11:57,31.732,0.444489163,0.279,0.00863226
MD19_2-23,MD19_091,8/14/2019,12:05,31.608,0.442752221,0.256,0.00792064
MD19_2-24,MD19_092,8/14/2019,12:10,39.037,0.546814681,0.44,0.0136136
MD19_2-25,MD19_093,8/14/2019,12:17,32.783,0.459211151,0.308,0.00952952
MD19_2-26,MD19_094,8/14/2019,12:22,32.458,0.454658681,0.27,0.0083538
MD19_2-27,MD19_095,8/14/2019,12:46,31.065,0.435146094,0.274,0.00847756
MD19_2-28,MD19_096,8/14/2019,12:51,29.731,0.416459956,0.3,0.009282
MD19_2-29,MD19_097,8/14/2019,12:56,30.624,0.428968742,0.29,0.0089726
MD19_2-30,MD19_098,8/14/2019,13:01,29.428,0.412215653,0.279,0.00863226
MD19_2-31,MD19_099,8/14/2019,13:05,28.32,0.396695232,0.254,0.00785876
MD19_2-32,MD19_100,8/14/2019,13:09,29.499,0.413210192,0.349,0.01079806
MD19_2-33,MD19_101,8/14/2019,13:13,28.44,0.398376144,0.325,0.0100555
MD19_2-34,MD19_102,8/14/2019,13:17,29.305,0.410492718,0.333,0.01030302
MD19_2-35,MD19_103,8/14/2019,13:21,29.76,0.416866176,0.329,0.01017926
