SampleID,Date,Time,TN uMol/L N,TN mg/L N,TP uMol/L P,TP mg/L P
MD19_0001,5/17/2019,9:24,41.69,0.583976844,0.592,0.01831648
MD19_0002,5/17/2019,9:28,41.124,0.576048542,0.465,0.0143871
MD19_0003,5/17/2019,9:32,41.968,0.587870957,0.586,0.01813084
MD19_0004,5/17/2019,9:36,42.663,0.597606239,0.625,0.0193375
MD19_0005,5/17/2019,9:40,42.424,0.594258422,0.615,0.0190281
MD19_0006,5/17/2019,9:44,42.026,0.588683398,0.555,0.0171717
MD19_0007,5/17/2019,9:48,41.755,0.584887338,0.571,0.01766674
MD19_0008,5/17/2019,9:52,42.403,0.593964263,0.585,0.0180999
MD19_0009,5/17/2019,9:56,42.807,0.599623333,0.595,0.0184093
MD19_0010,5/17/2019,10:00,41.789,0.585363596,0.583,0.01803802
MD19_0011,5/17/2019,10:05,41.837,0.586035961,0.558,0.01726452
MD19_0012,5/17/2019,10:09,41.889,0.586764356,0.58,0.0179452
MD19_0013,5/17/2019,10:13,41.549,0.582001772,0.599,0.01853306
MD19_0014,5/17/2019,10:17,41.724,0.584453102,0.559,0.01729546
MD19_0015,5/17/2019,10:21,41.032,0.574759843,0.585,0.0180999
MD19_0016,5/17/2019,10:25,39.997,0.560261977,0.592,0.01831648
MD19_0017,5/17/2019,10:29,40.716,0.570333442,0.596,0.01844024
MD19_0018,5/17/2019,10:33,41.258,0.577925561,0.596,0.01844024
MD19_0019,5/17/2019,10:37,41.145,0.576342702,0.558,0.01726452
MD19_0020,5/17/2019,10:41,41.515,0.581525514,0.559,0.01729546
MD19_0021,5/17/2019,10:45,40.319,0.564772424,0.57,0.0176358
MD19_0022,5/17/2019,10:49,40.213,0.563287619,0.504,0.01559376
MD19_0023,5/17/2019,10:53,40.74,0.570669624,0.608,0.01881152
MD19_0024,5/17/2019,10:57,40.387,0.565724941,0.542,0.01676948
MD19_0025,5/17/2019,11:02,40.644,0.569324894,0.591,0.01828554
MD19_0026,5/17/2019,11:06,39.225,0.54944811,0.515,0.0159341
MD19_0027,5/17/2019,11:10,40.576,0.568372378,0.535,0.0165529
MD19_0028,5/17/2019,11:14,41.913,0.587100539,0.581,0.01797614
MD19_0029,5/17/2019,11:18,40.751,0.570823708,0.58,0.0179452
MD19_0030,5/17/2019,11:22,39.818,0.557754617,0.579,0.01791426
MD19_0031,5/17/2019,11:26,38.673,0.541715915,0.534,0.01652196
MD19_0032,5/17/2019,11:30,38.502,0.539320615,0.58,0.0179452
MD19_0033,5/17/2019,11:34,37.652,0.527414155,0.56,0.0173264
MD19_0034,5/17/2019,11:36,30.395,0.425761002,0.554,0.01714076
MD19_0035,5/17/2019,12:39,43.318,0.606781217,0.548,0.01695512
MD19_0036,7/3/2019,10:10,42.965,0.601836534,0.41,0.0126854
MD19_0037,7/3/2019,10:16,43.514,0.609526706,0.436,0.01348984
MD19_0038,7/3/2019,10:20,43.664,0.611627846,0.438,0.01355172
MD19_0039,7/3/2019,10:24,43.167,0.604666069,0.434,0.01342796
MD19_0040,7/3/2019,10:28,42.571,0.59631754,0.474,0.01466556
MD19_0041,7/3/2019,10:33,42.177,0.590798545,0.437,0.01352078
MD19_0042,7/3/2019,10:37,42.304,0.59257751,0.465,0.0143871
MD19_0043,7/3/2019,10:43,41.834,0.585993938,0.537,0.01661478
MD19_0044,7/3/2019,10:48,40.802,0.571538095,0.473,0.01463462
MD19_0045,7/3/2019,10:52,41.046,0.57495595,0.482,0.01491308
MD19_0046,7/3/2019,10:56,39.928,0.559295453,0.47,0.0145418
MD19_0047,7/3/2019,11:00,50.846,0.71223043,0.55,0.017017
MD19_0048,7/3/2019,11:04,44.525,0.62368839,0.522,0.01615068
MD19_0049,7/3/2019,11:08,44.737,0.626658001,0.518,0.01602692
MD19_0050,7/3/2019,11:12,42.646,0.59736811,0.461,0.01426334
MD19_0051,7/3/2019,11:16,44.031,0.616768636,0.479,0.01482026
MD19_0052,7/3/2019,11:20,39.835,0.557992746,0.204,0.00631176
MD19_0053,7/3/2019,11:24,39.301,0.550512688,0.477,0.01475838
MD19_0054,7/3/2019,11:28,41.652,0.583444555,0.455,0.0140777
MD19_0055,7/3/2019,11:32,39.174,0.548733722,0.454,0.01404676
MD19_0056,7/3/2019,11:36,41.656,0.583500586,0.465,0.0143871
MD19_0057,7/3/2019,11:40,43.754,0.61288853,0.505,0.0156247
MD19_0058,7/3/2019,11:44,40.908,0.573022901,0.473,0.01463462
MD19_0059,7/3/2019,11:48,40.192,0.562993459,0.443,0.01370642
MD19_0060,7/3/2019,11:52,40.86,0.572350536,0.509,0.01574846
MD19_0061,7/3/2019,11:56,45.944,0.643565174,0.531,0.01642914
MD19_0062,7/3/2019,12:00,41.594,0.582632114,0.545,0.0168623
MD19_0063,7/3/2019,12:04,40.075,0.56135457,0.512,0.01584128
MD19_0064,7/3/2019,12:08,40.106,0.561788806,0.525,0.0162435
MD19_0065,7/3/2019,12:12,42.794,0.599441234,0.621,0.01921374
MD19_0066,7/3/2019,12:16,39.89,0.558763164,0.558,0.01726452
MD19_0067,7/3/2019,12:20,36.809,0.515605748,0.761,0.02354534
MD19_0068,7/3/2019,13:35,48.779,0.68327672,0.481,0.01488214
