ID for ICP-MS,ICP-MS Run Date,Sample ID,Filter size,Bottle no./ Field ID,Sample Date,Sample Time,Waterbody,Location1,Location2,Al ppb,Si ppb,P ppb,Mn ppb,Fe ppb
1,6/12/19,,0.45,1,5/17/19,,Missisquoi Delta,,,23.56114824,2100.937239,10.28074807,27.64888968,94.35202529
2,6/12/19,,0.45,2,5/17/19,,Missisquoi Delta,,,22.68638822,2065.193053,10.03601265,27.07900546,92.36963315
3,6/12/19,,0.45,3,5/17/19,,Missisquoi Delta,,,23.28566141,2038.867537,9.165839265,26.61335551,94.29871129
4,6/12/19,,0.45,4,5/17/19,,Missisquoi Delta,,,23.11809377,2027.196628,9.809405548,26.08599289,90.55589096
5,6/12/19,,0.45,5,5/17/19,,Missisquoi Delta,,,22.51266091,2019.126153,10.072271,26.18124828,90.44677498
6,6/12/19,,0.45,6,5/17/19,,Missisquoi Delta,,,22.86111673,2010.597569,9.609991544,25.72412886,88.58416162
7,6/12/19,,0.45,7,5/17/19,,Missisquoi Delta,,,23.06052985,2007.669422,9.736890807,25.80157646,90.33552644
8,6/12/19,,0.45,8,5/17/19,,Missisquoi Delta,,,22.08919378,1991.120685,9.718764997,25.57825258,86.95915098
9,6/12/19,,0.45,9,5/17/19,,Missisquoi Delta,,,22.61339888,2000.550513,9.501215887,27.92459179,90.22925387
10,6/12/19,,0.45,10,5/17/19,,Missisquoi Delta,,,22.23205192,2003.228578,10.38045476,30.27905034,93.03463641
11,6/12/19,,0.45,11,5/17/19,,Missisquoi Delta,,,22.28140688,2010.568346,9.95443052,29.39587476,91.6980545
12,6/12/19,,0.45,12,5/17/19,,Missisquoi Delta,,,22.93822649,2009.494583,9.854727136,29.91585918,94.57292295
13,6/12/19,,0.45,13,5/17/19,,Missisquoi Delta,,,22.62881718,2009.801844,9.700634314,27.22933513,90.60476212
14,6/12/19,,0.45,14,5/17/19,,Missisquoi Delta,,,26.04067958,2014.802415,9.410575307,29.92025556,95.79132551
15,6/12/19,,0.45,15,5/17/19,,Missisquoi Delta,,,22.28963222,2022.05274,9.845661679,27.72723158,92.25891775
16,6/12/19,,0.45,16,5/17/19,,Missisquoi Delta,,,21.90007285,1918.491194,9.392445523,43.12167034,114.7158397
17,6/12/19,,0.45,17,5/17/19,,Missisquoi Delta,,,22.13543727,1993.3952,9.283676856,34.93525297,101.4164854
18,6/12/19,,0.45,18,5/17/19,,Missisquoi Delta,,,22.68535254,2034.790065,9.446833714,29.99985076,93.37904484
19,6/12/19,,0.45,19,5/17/19,,Missisquoi Delta,,,22.77272772,2036.283919,9.709697988,29.08518489,93.75135425
20,6/12/19,,0.45,20,5/17/19,,Missisquoi Delta,,,22.97830962,2052.607581,9.863788896,29.17716179,94.24930699
21,6/12/19,,0.45,21,5/17/19,,Missisquoi Delta,,,23.03380783,2056.628749,9.664377328,29.97295541,96.10410096
22,6/12/19,,0.45,22,5/17/19,,Missisquoi Delta,,,23.13970298,2052.851307,9.174904809,30.98101455,98.32516209
23,6/12/19,,0.45,23,5/17/19,,Missisquoi Delta,,,22.87861133,2036.862432,9.410577279,31.93684064,102.4134571
24,6/12/19,,0.45,24,5/17/19,,Missisquoi Delta,,,22.45921171,2024.898511,9.002682783,30.82451341,101.1518702
25,6/12/19,,0.45,25,5/17/19,,Missisquoi Delta,,,23.19519627,2015.813572,9.066131284,31.54935428,105.0510783
26,6/12/19,,0.45,26,5/17/19,,Missisquoi Delta,,,23.40078402,2002.588003,9.23835447,40.82406794,107.8637471
27,6/12/19,,0.45,27,5/17/19,,Missisquoi Delta,,,21.60918584,1923.974488,9.220225832,35.6900286,103.5321625
28,6/12/19,,0.45,28,5/17/19,,Missisquoi Delta,,,21.58966057,1884.244042,8.866717845,36.00529077,106.0768396
29,6/12/19,,0.45,29,5/17/19,,Missisquoi Delta,,,22.7089893,1985.793735,8.912039897,36.95584792,113.0019724
30,6/12/19,,0.45,30,5/17/19,,Missisquoi Delta,,,23.42339045,2029.703594,10.32607029,35.53042416,107.6321866
31,6/12/19,,0.45,31,5/17/19,,Missisquoi Delta,,,22.97523112,1893.491001,9.057070206,41.42469129,117.1050177
32,6/12/19,,0.45,32,5/17/19,,Missisquoi Delta,,,23.30108732,1716.171095,8.576663058,31.98814266,114.103795
33,6/12/19,,0.45,33,5/17/19,,Missisquoi Delta,,,25.07328906,1542.271023,8.902975629,22.77699993,110.5850712
34,6/12/19,,0.45,34,5/17/19,,Missisquoi Delta,,,25.54105398,1546.568952,8.304735299,19.40038869,101.0742095
73,1/9/20,,0.45,1,7/3/19,,Missisquoi Delta,,,10.64874889,1688.61485,3.348851523,1.652596967,64.12573638
