TSS Sample ID,Date,Site,Time,Time zone,Date to St. Mikes,Date processed at St. Mikes,SMC WQ Lab Code,TSS (mg/L),Note
1,5/17/19,Miss Delta,9:24,EDT,6/4/19,7/16/2019 ES,19SS10174,3.7,at Dead Creek Run split
2,5/17/19,Miss Delta,9:28,EDT,6/4/19,7/16/2019 ES,19SS10175,3.02,
3,5/17/19,Miss Delta,9:32,EDT,6/4/19,7/16/2019 ES,19SS10176,3.9,
4,5/17/19,Miss Delta,9:36,EDT,6/4/19,7/16/2019 ES,19SS10177,2.94,
5,5/17/19,Miss Delta,9:40,EDT,6/4/19,7/16/2019 ES,19SS10178,4.04,
6,5/17/19,Miss Delta,9:44,EDT,6/4/19,7/16/2019 ES,19SS10179,2.85,
7,5/17/19,Miss Delta,9:48,EDT,6/4/19,7/16/2019 ES,19SS10180,3.78,
8,5/17/19,Miss Delta,9:52,EDT,6/4/19,7/16/2019 ES,19SS10181,3.74,just above launch point
9,5/17/19,Miss Delta,9:56,EDT,6/4/19,7/16/2019 ES,19SS10182,2.85,just below launch site
10,5/17/19,Miss Delta,10:00,EDT,6/4/19,7/16/2019 ES,19SS10183,3.72,left site side of island just below launch
11,5/17/19,Miss Delta,10:05,EDT,6/4/19,7/16/2019 ES,19SS10184,2.95,
12,5/17/19,Miss Delta,10:09,EDT,6/4/19,7/16/2019 ES,19SS10185,3.68,
13,5/17/19,Miss Delta,10:13,EDT,6/4/19,7/16/2019 ES,19SS10186,1.96,
14,5/17/19,Miss Delta,10:17,EDT,6/4/19,7/16/2019 ES,19SS10187,2.8,
15,5/17/19,Miss Delta,10:21,EDT,6/4/19,7/16/2019 ES,19SS10188,3.76,at 2nd launch site
16,5/17/19,Miss Delta,10:25,EDT,6/4/19,7/16/2019 ES,19SS10189,3.94,
17,5/17/19,Miss Delta,10:29,EDT,6/4/19,7/16/2019 ES,19SS10190,4.79,
18,5/17/19,Miss Delta,10:33,EDT,6/4/19,7/16/2019 ES,19SS10191,3.96,
19,5/17/19,Miss Delta,10:37,EDT,6/4/19,7/16/2019 ES,19SS10193,4.79,
20,5/17/19,Miss Delta,10:41,EDT,6/4/19,7/16/2019 ES,19SS10194,3.9,
21,5/17/19,Miss Delta,10:45,EDT,6/4/19,7/16/2019 ES,19SS10195,3.72,
22,5/17/19,Miss Delta,10:49,EDT,6/4/19,7/16/2019 ES,19SS10196,3.02,
23,5/17/19,Miss Delta,10:53,EDT,6/4/19,7/16/2019 ES,19SS10197,3.85,
24,5/17/19,Miss Delta,10:57,EDT,6/4/19,7/16/2019 ES,19SS10198,3.86,
25,5/17/19,Miss Delta,11:02,EDT,6/4/19,7/16/2019 ES,19SS10199,2.88,
26,5/17/19,Miss Delta,11:06,EDT,6/4/19,7/16/2019 ES,19SS10200,3.84,just upstream of downstream river fork
27,5/17/19,Miss Delta,11:10,EDT,6/4/19,7/16/2019 ES,19SS10201,3.81,in left fork of river
28,5/17/19,Miss Delta,11:14,EDT,6/4/19,7/16/2019 ES,19SS10202,29.91,
29,5/17/19,Miss Delta,11:18,EDT,6/4/19,7/16/2019 ES,19SS10203,3.86,
30,5/17/19,Miss Delta,11:22,EDT,6/4/19,7/16/2019 ES,19SS10204,1.9,
31,5/17/19,Miss Delta,11:26,EDT,6/4/19,7/16/2019 ES,19SS10205,3.89,
32,5/17/19,Miss Delta,11:30,EDT,6/4/19,7/16/2019 ES,19SS10206,2.88,
33,5/17/19,Miss Delta,11:34,EDT,6/4/19,7/16/2019 ES,19SS10207,2.65,
34,5/17/19,Miss Delta,11:36,EDT,6/4/19,7/16/2019 ES,19SS10208,3.81,in lake
36,5/17/19,Miss Delta,12:39,EDT,6/4/19,7/16/2019 ES,19SS10209,4.98,in swanton just above dam
1,7/3/19,Miss Delta,10:10,EDT,7/16/19,7/17/2019 ES,19SS10210,1.87,at top of Dead Creek Run
2,7/3/19,Miss Delta,10:16,EDT,7/16/19,7/17/2019 ES,19SS10211,0.93,
3,7/3/19,Miss Delta,10:20,EDT,7/16/19,7/17/2019 ES,19SS10212,1.91,
4,7/3/19,Miss Delta,10:24,EDT,7/16/19,7/17/2019 ES,19SS10213,1.88,
