TSS Sample ID,MissDelta Total sample ID,Date,Site,Time,TSS (mg/L),Note
1,117,10/21/19,MissDelta,10:06,3.54,beginning at Dead Creek Run
2,118,10/21/19,MissDelta,10:12,3.74,
3,119,10/21/19,MissDelta,10:19,1.02,
4,120,10/21/19,MissDelta,10:24,3.02,
5,121,10/21/19,MissDelta,10:30,1.99,
6,122,10/21/19,MissDelta,10:35,2.98,
7,123,10/21/19,MissDelta,10:40,2.83,
8,124,10/21/19,MissDelta,10:45,4.12,
9,125,10/21/19,MissDelta,10:50,3.95,
10,126,10/21/19,MissDelta,10:55,3.8,
11,127,10/21/19,MissDelta,11:00,3.83,
12,128,10/21/19,MissDelta,11:04,2.87,
13,129,10/21/19,MissDelta,11:08,2.86,
14,130,10/21/19,MissDelta,11:12,2.96,
15,131,10/21/19,MissDelta,11:16,3.78,
16,132,10/21/19,MissDelta,11:20,3.66,
17,133,10/21/19,MissDelta,11:24,3.1,last sample of Dead Creek transect
18,134,10/21/19,MissDelta,12:05,2.79,beginning of main stem transect
19,135,10/21/19,MissDelta,12:11,2.82,
20,136,10/21/19,MissDelta,12:17,2.92,
21,137,10/21/19,MissDelta,12:23,1.82,
22,138,10/21/19,MissDelta,12:29,1.86,stopped at boat launch between this and next sample (~12:34-12:45--cut these data)
23,139,10/21/19,MissDelta,12:47,2.87,taken just above island split; on left side of island at ~12:49
24,140,10/21/19,MissDelta,12:52,2.76,still on left side of island
25,141,10/21/19,MissDelta,12:57,2.86,exited island split at ~12:58; pretty shallow ~0.5-1 m depth
26,142,10/21/19,MissDelta,13:02,1.91,
27,143,10/21/19,MissDelta,13:07,1.88,just above right bend in river before second boat launch
28,144,10/21/19,MissDelta,13:12,2.75,
29,145,10/21/19,MissDelta,13:17,0.98,
30,146,10/21/19,MissDelta,13:22,2.78,
31,147,10/21/19,MissDelta,13:28,2.99,
32,148,10/21/19,MissDelta,13:32,2.79,
33,149,10/21/19,MissDelta,13:36,4.78,
34,150,10/21/19,MissDelta,13:40,2.89,
35,151,10/21/19,MissDelta,13:44,3.77,
36,152,10/21/19,MissDelta,13:48,2.91,
37,153,10/21/19,MissDelta,13:52,3.88,
38,154,10/21/19,MissDelta,13:56,4.72,just above split heading towards lake
39,155,10/21/19,MissDelta,14:01,3.94,
40,156,10/21/19,MissDelta,14:05,2.83,
41,157,10/21/19,MissDelta,14:09,2.88,
42,158,10/21/19,MissDelta,14:13,3.81,
43,159,10/21/19,MissDelta,14:17,3.87,
44,160,10/21/19,MissDelta,14:21,1.87,
45,161,10/21/19,MissDelta,14:24,4.6,final sample in lake; depth ~0.5-0.8 m
46,162,10/21/19,MissDelta,15:45,1.85,grab sample above dam
