Date,lake level_ft,month
4/17/2019,99.33,4
4/18/2019,99.32,4
4/19/2019,99.4,4
4/20/2019,99.71,4
4/21/2019,100.12,4
4/22/2019,100.41,4
4/23/2019,100.56,4
4/24/2019,100.62,4
4/25/2019,100.69,4
4/26/2019,100.69,4
4/27/2019,100.76,4
4/28/2019,100.9,4
4/29/2019,100.94,4
4/30/2019,100.91,4
5/1/2019,100.84,5
5/2/2019,100.78,5
5/3/2019,100.74,5
5/4/2019,100.74,5
5/5/2019,100.71,5
5/6/2019,100.64,5
5/7/2019,100.57,5
5/8/2019,100.51,5
5/9/2019,100.41,5
5/10/2019,100.33,5
5/11/2019,100.54,5
5/12/2019,100.62,5
5/13/2019,100.58,5
5/14/2019,100.57,5
5/15/2019,100.56,5
5/16/2019,100.51,5
5/17/2019,100.45,5
5/18/2019,100.36,5
5/19/2019,100.3,5
5/20/2019,100.29,5
5/21/2019,100.38,5
5/22/2019,100.37,5
5/23/2019,100.29,5
5/24/2019,100.24,5
5/25/2019,100.15,5
5/26/2019,100.16,5
5/27/2019,100.18,5
5/28/2019,100.13,5
5/29/2019,100.1,5
5/30/2019,100.05,5
5/31/2019,99.99,5
6/1/2019,99.89,6
6/2/2019,99.8,6
6/3/2019,99.71,6
6/4/2019,99.61,6
6/5/2019,99.54,6
6/6/2019,99.54,6
6/7/2019,99.52,6
6/8/2019,99.45,6
6/9/2019,99.34,6
6/10/2019,99.23,6
6/11/2019,99.18,6
6/12/2019,99.11,6
6/13/2019,99.01,6
6/14/2019,98.89,6
6/15/2019,98.77,6
6/16/2019,98.68,6
6/17/2019,98.58,6
6/18/2019,98.47,6
6/19/2019,98.37,6
6/20/2019,98.36,6
6/21/2019,98.46,6
6/22/2019,98.51,6
6/23/2019,98.47,6
6/24/2019,98.41,6
6/25/2019,98.32,6
6/26/2019,98.28,6
6/27/2019,98.24,6
6/28/2019,98.17,6
6/29/2019,98.09,6
6/30/2019,98.05,6
7/1/2019,97.99,7
7/2/2019,97.92,7
7/3/2019,97.83,7
7/4/2019,97.71,7
7/5/2019,97.61,7
7/6/2019,97.53,7
7/7/2019,97.44,7
7/8/2019,97.37,7
7/9/2019,97.27,7
7/10/2019,97.16,7
7/11/2019,97.06,7
7/12/2019,97.02,7
7/13/2019,96.95,7
7/14/2019,96.89,7
7/15/2019,96.8,7
7/16/2019,96.69,7
7/17/2019,96.62,7
7/18/2019,96.57,7
7/19/2019,96.51,7
7/20/2019,96.44,7
7/21/2019,96.39,7
7/22/2019,96.33,7
7/23/2019,96.26,7
7/24/2019,96.18,7
7/25/2019,96.1,7
7/26/2019,96.02,7
7/27/2019,95.95,7
7/28/2019,95.88,7
7/29/2019,95.83,7
7/30/2019,95.78,7
7/31/2019,95.74,7
8/1/2019,95.71,8
8/2/2019,95.66,8
8/3/2019,95.58,8
8/4/2019,95.52,8
8/5/2019,95.47,8
8/6/2019,95.38,8
8/7/2019,95.33,8
8/8/2019,95.39,8
8/9/2019,95.39,8
8/10/2019,95.36,8
8/11/2019,95.32,8
8/12/2019,95.26,8
8/13/2019,95.24,8
8/14/2019,95.23,8
8/15/2019,95.2,8
8/16/2019,95.16,8
8/17/2019,95.08,8
8/18/2019,95.05,8
8/19/2019,95.01,8
8/20/2019,94.99,8
8/21/2019,94.97,8
8/22/2019,94.94,8
8/23/2019,94.92,8
8/24/2019,94.89,8
8/25/2019,94.86,8
8/26/2019,94.79,8
8/27/2019,94.72,8
8/28/2019,94.67,8
8/29/2019,94.69,8
8/30/2019,94.64,8
8/31/2019,94.6,8
9/1/2019,94.58,9
9/2/2019,94.55,9
9/3/2019,94.61,9
9/4/2019,94.62,9
9/5/2019,94.64,9
9/6/2019,94.66,9
9/7/2019,94.65,9
9/8/2019,94.63,9
9/9/2019,94.61,9
9/10/2019,94.58,9
9/11/2019,94.55,9
9/12/2019,94.53,9
9/13/2019,94.52,9
9/14/2019,94.35,9
9/15/2019,94.4,9
9/16/2019,94.38,9
9/17/2019,94.37,9
9/18/2019,94.36,9
9/19/2019,94.31,9
9/20/2019,94.27,9
9/21/2019,94.25,9
9/22/2019,94.21,9
9/23/2019,94.21,9
9/24/2019,94.24,9
9/25/2019,94.23,9
9/26/2019,94.21,9
9/27/2019,94.22,9
9/28/2019,94.19,9
9/29/2019,94.2,9
9/30/2019,94.2,9
10/1/2019,94.19,10
10/2/2019,94.27,10
10/3/2019,94.36,10
10/4/2019,94.43,10
10/5/2019,94.44,10
10/6/2019,94.35,10
10/7/2019,94.44,10
10/8/2019,94.58,10
10/9/2019,94.67,10
10/10/2019,94.7,10
10/11/2019,94.71,10
10/12/2019,94.71,10
10/13/2019,94.68,10
10/14/2019,94.64,10
10/15/2019,94.62,10
10/16/2019,94.59,10
10/17/2019,94.82,10
10/18/2019,95.03,10
10/19/2019,95.18,10
10/20/2019,95.25,10
10/21/2019,95.3,10
10/22/2019,95.3,10
10/23/2019,95.36,10
10/24/2019,95.37,10
10/25/2019,95.43,10
10/26/2019,95.44,10
10/27/2019,95.45,10
10/28/2019,95.6,10
10/29/2019,95.66,10
10/30/2019,95.74,10
10/31/2019,95.83,10
11/1/2019,96.36,11
11/2/2019,97.06,11
11/3/2019,97.43,11
11/4/2019,97.52,11
11/5/2019,97.53,11
11/6/2019,97.58,11
11/7/2019,97.6,11
11/8/2019,97.6,11
11/9/2019,97.51,11
11/10/2019,97.43,11
11/11/2019,97.46,11
11/12/2019,97.48,11
11/13/2019,97.4,11
11/14/2019,97.29,11
11/15/2019,97.25,11
11/16/2019,97.21,11
11/17/2019,97.15,11
11/18/2019,97.1,11
11/19/2019,97.07,11
11/20/2019,97.04,11
11/21/2019,97.01,11
