Datetime,Date,TZ,gage height_ft,discharge_cfs,month
4/17/2019 0:00,4/17/2019,EDT,4.42,10400,4
4/17/2019 0:15,4/17/2019,EDT,4.41,10400,4
4/17/2019 0:30,4/17/2019,EDT,4.41,10400,4
4/17/2019 0:45,4/17/2019,EDT,4.39,10300,4
4/17/2019 1:00,4/17/2019,EDT,4.38,10300,4
4/17/2019 1:15,4/17/2019,EDT,4.37,10200,4
4/17/2019 1:30,4/17/2019,EDT,4.37,10200,4
4/17/2019 1:45,4/17/2019,EDT,4.37,10200,4
4/17/2019 2:00,4/17/2019,EDT,4.36,10200,4
4/17/2019 2:15,4/17/2019,EDT,4.35,10100,4
4/17/2019 2:30,4/17/2019,EDT,4.36,10200,4
4/17/2019 2:45,4/17/2019,EDT,4.34,10100,4
4/17/2019 3:00,4/17/2019,EDT,4.31,9980,4
4/17/2019 3:15,4/17/2019,EDT,4.31,9980,4
4/17/2019 3:30,4/17/2019,EDT,4.31,9980,4
4/17/2019 3:45,4/17/2019,EDT,4.31,9980,4
4/17/2019 4:00,4/17/2019,EDT,4.3,9940,4
4/17/2019 4:15,4/17/2019,EDT,4.28,9860,4
4/17/2019 4:30,4/17/2019,EDT,4.26,9780,4
4/17/2019 4:45,4/17/2019,EDT,4.25,9740,4
4/17/2019 5:00,4/17/2019,EDT,4.25,9740,4
4/17/2019 5:15,4/17/2019,EDT,4.25,9740,4
4/17/2019 5:30,4/17/2019,EDT,4.25,9740,4
4/17/2019 5:45,4/17/2019,EDT,4.25,9740,4
4/17/2019 6:00,4/17/2019,EDT,4.22,9620,4
4/17/2019 6:15,4/17/2019,EDT,4.2,9540,4
4/17/2019 6:30,4/17/2019,EDT,4.19,9500,4
4/17/2019 6:45,4/17/2019,EDT,4.18,9460,4
4/17/2019 7:00,4/17/2019,EDT,4.19,9500,4
4/17/2019 7:15,4/17/2019,EDT,4.19,9500,4
4/17/2019 7:30,4/17/2019,EDT,4.18,9460,4
4/17/2019 7:45,4/17/2019,EDT,4.15,9340,4
4/17/2019 8:00,4/17/2019,EDT,4.13,9260,4
4/17/2019 8:15,4/17/2019,EDT,4.13,9260,4
4/17/2019 8:30,4/17/2019,EDT,4.12,9220,4
4/17/2019 8:45,4/17/2019,EDT,4.11,9180,4
4/17/2019 9:00,4/17/2019,EDT,4.12,9220,4
4/17/2019 9:15,4/17/2019,EDT,4.11,9180,4
4/17/2019 9:30,4/17/2019,EDT,4.08,9060,4
4/17/2019 9:45,4/17/2019,EDT,4.07,9020,4
4/17/2019 10:00,4/17/2019,EDT,4.06,8980,4
4/17/2019 10:15,4/17/2019,EDT,4.06,8980,4
4/17/2019 10:30,4/17/2019,EDT,4.05,8950,4
4/17/2019 10:45,4/17/2019,EDT,4.05,8950,4
4/17/2019 11:00,4/17/2019,EDT,4.05,8950,4
4/17/2019 11:15,4/17/2019,EDT,4.02,8830,4
4/17/2019 11:30,4/17/2019,EDT,3.99,8710,4
4/17/2019 11:45,4/17/2019,EDT,3.99,8710,4
4/17/2019 12:00,4/17/2019,EDT,3.99,8710,4
4/17/2019 12:15,4/17/2019,EDT,3.98,8670,4
4/17/2019 12:30,4/17/2019,EDT,3.98,8670,4
4/17/2019 12:45,4/17/2019,EDT,3.98,8670,4
4/17/2019 13:00,4/17/2019,EDT,3.95,8550,4
4/17/2019 13:15,4/17/2019,EDT,3.94,8510,4
4/17/2019 13:30,4/17/2019,EDT,3.93,8470,4
4/17/2019 13:45,4/17/2019,EDT,3.93,8470,4
4/17/2019 14:00,4/17/2019,EDT,3.92,8430,4
4/17/2019 14:15,4/17/2019,EDT,3.91,8390,4
4/17/2019 14:30,4/17/2019,EDT,3.89,8310,4
4/17/2019 14:45,4/17/2019,EDT,3.87,8230,4
4/17/2019 15:00,4/17/2019,EDT,3.86,8190,4
4/17/2019 15:15,4/17/2019,EDT,3.86,8190,4
4/17/2019 15:30,4/17/2019,EDT,3.85,8150,4
4/17/2019 15:45,4/17/2019,EDT,3.82,8030,4
4/17/2019 16:00,4/17/2019,EDT,3.81,7990,4
4/17/2019 16:15,4/17/2019,EDT,3.79,7910,4
4/17/2019 16:30,4/17/2019,EDT,3.79,7910,4
