Date,Time,Site,Unit ID,User ID,C-15F102377,mmHg-18B100990,DO %-15F101915,DO %L-15F101915,DO mg/L-15F101915,SPC-uS/cm-15F102377,C-uS/cm-15F102377,nLFC-uS/cm-15F102377,TDS mg/L-15F102377,SAL-PSU-15F102377,pH-18A105002,pH mV-18A105002,FNU-15E103685,TSS mg/L-15E103685,BGA-PC RFU-15F101336,BGA-PCug/L-15F101336,Chl RFU-15F101336,Chl ug/L-15F101336,fDOM RFU-13M100089,fDOM QSU-13M100089,DEP m-15F100474,Vpos m-15F100474,DEP psia-15F100474,Wiper V-15F101248,Cable V-18B100990,Batt V-18B100990,ALT m-18B100990,Lat-18B100990,Lon-18B100990
5/17/19,9:14:18,MissRivDelta,,,10.777,751.7,100.6,100.6,11.15,89.7,65.3,91.3,58,0.04,7.82,-80.5,4.81,0,0,-0.17,-0.58,-2.58,15.94,49.94,0.169,0.045,0.24,1.214,0,4.74,32.4,44.94476,-73.1465
5/17/19,9:15:01,MissRivDelta,,,10.774,751.6,100.6,100.6,11.15,89.7,65.3,91.3,58,0.04,7.77,-77.2,4.93,0,0,-0.17,-0.57,-2.56,15.9,49.82,0.167,0.042,0.238,1.214,0,4.71,35.5,44.94473,-73.14643
5/17/19,9:16:01,MissRivDelta,,,10.765,751.6,100.6,100.6,11.15,89.7,65.3,91.2,58,0.04,7.73,-74.9,4.9,0,-0.01,-0.17,-0.58,-2.57,15.9,49.81,0.156,0.039,0.222,1.214,0,4.64,31.2,44.94478,-73.14644
5/17/19,9:17:01,MissRivDelta,,,10.77,751.6,100.6,100.6,11.15,89.6,65.3,91.2,58,0.04,7.7,-73.1,5.03,0,0.01,-0.16,-0.56,-2.55,15.89,49.79,0.165,0.033,0.234,1.214,0,4.65,32.4,44.9448,-73.14648
5/17/19,9:18:01,MissRivDelta,,,10.767,751.6,100.5,100.5,11.15,89.7,65.3,91.2,58,0.04,7.67,-71.5,4.89,0,0.05,-0.15,-0.55,-2.54,15.89,49.79,0.158,0.033,0.224,1.214,0,4.64,44.6,44.9448,-73.14647
5/17/19,9:19:01,MissRivDelta,,,10.774,751.7,100.5,100.5,11.14,89.7,65.3,91.2,58,0.04,7.64,-70.1,4.75,0,-0.01,-0.17,-0.54,-2.53,15.88,49.74,0.156,0.031,0.221,1.214,0,4.63,40,44.94481,-73.14648
5/17/19,9:20:01,MissRivDelta,,,10.779,751.7,100.6,100.6,11.15,89.6,65.3,91.2,58,0.04,7.62,-68.8,4.84,0,0.04,-0.16,-0.52,-2.52,15.86,49.7,0.16,0.036,0.228,1.214,0,4.62,38,44.94479,-73.14637
5/17/19,9:21:01,MissRivDelta,,,10.771,751.6,100.6,100.6,11.15,89.6,65.3,91.2,58,0.04,7.57,-66.1,4.74,0,-0.02,-0.17,-0.55,-2.55,15.88,49.76,0.155,0.038,0.221,1.214,0,4.6,30.8,44.94488,-73.14664
5/17/19,9:22:01,MissRivDelta,,,10.785,751.6,100.5,100.5,11.14,89.8,65.5,91.4,58,0.04,7.5,-62.1,4.78,0,-0.09,-0.19,-0.56,-2.55,15.89,49.77,0.167,0.044,0.237,1.214,0,4.59,30,44.94514,-73.1474
5/17/19,9:23:01,MissRivDelta,,,10.795,751.6,100.4,100.4,11.13,90.1,65.7,91.7,59,0.04,7.47,-60.3,4.78,0,-0.02,-0.17,-0.47,-2.46,15.87,49.73,0.156,0.025,0.221,1.214,0,4.57,30.7,44.94543,-73.14813
5/17/19,9:24:01,MissRivDelta,,,10.82,751.6,100.4,100.4,11.11,90.5,66,92.1,59,0.04,7.46,-59.7,4.74,0,0.07,-0.15,-0.54,-2.54,15.88,49.75,0.161,0.027,0.228,1.214,0,4.58,31,44.9457,-73.14886
5/17/19,9:25:01,MissRivDelta,,,10.839,751.6,100.4,100.4,11.11,90.7,66.1,92.3,59,0.04,7.45,-59.4,4.71,0,-0.02,-0.17,-0.61,-2.61,15.84,49.63,0.149,0.025,0.212,1.214,0,4.56,32,44.94601,-73.14955
5/17/19,9:26:01,MissRivDelta,,,10.85,751.6,100.3,100.3,11.1,90.8,66.3,92.4,59,0.04,7.45,-59.1,4.73,0,0.08,-0.14,-0.53,-2.52,15.83,49.6,0.156,0.026,0.222,1.214,0,4.55,30.7,44.94632,-73.15025
5/17/19,9:27:01,MissRivDelta,,,10.851,751.6,100.4,100.4,11.11,90.6,66.1,92.2,59,0.04,7.45,-59,4.7,0,0.03,-0.16,-0.57,-2.57,15.83,49.61,0.161,0.034,0.229,1.214,0,4.53,31.3,44.94664,-73.15094
5/17/19,9:28:01,MissRivDelta,,,10.854,751.6,100.4,100.4,11.11,90.5,66,92.1,59,0.04,7.44,-58.7,4.75,0,0.05,-0.15,-0.61,-2.61,15.81,49.55,0.159,0.017,0.225,1.214,0,4.49,31.2,44.94696,-73.15163
5/17/19,9:29:01,MissRivDelta,,,10.863,751.6,100.4,100.4,11.1,90.5,66.1,92.1,59,0.04,7.44,-58.5,4.72,0,-0.02,-0.17,-0.5,-2.49,15.79,49.47,0.153,0.032,0.217,1.214,0,4.53,31,44.94726,-73.15234
5/17/19,9:30:01,MissRivDelta,,,10.854,751.6,100.3,100.3,11.1,90.4,66,92,59,0.04,7.44,-58.4,4.76,0,-0.11,-0.2,-0.52,-2.51,15.8,49.51,0.158,0.034,0.225,1.214,0,4.52,30.7,44.94761,-73.153
5/17/19,9:31:01,MissRivDelta,,,10.854,751.6,100.4,100.4,11.11,90.3,65.9,91.9,59,0.04,7.43,-58,4.81,0,-0.04,-0.18,-0.4,-2.37,15.79,49.49,0.16,0.039,0.228,1.214,0,4.52,29.4,44.94798,-73.15364
5/17/19,9:32:01,MissRivDelta,,,10.857,751.6,100.4,100.4,11.11,90.1,65.7,91.7,59,0.04,7.43,-57.9,4.74,0,-0.06,-0.18,-0.56,-2.55,15.79,49.46,0.157,0.034,0.223,1.214,0,4.52,29.4,44.94838,-73.15424
5/17/19,9:33:01,MissRivDelta,,,10.863,751.6,100.5,100.5,11.11,90,65.7,91.6,59,0.04,7.42,-57.5,4.75,0,-0.02,-0.17,-0.47,-2.45,15.78,49.43,0.158,0.033,0.224,1.214,0,4.48,30.6,44.94875,-73.15488
5/17/19,9:34:01,MissRivDelta,,,10.882,751.6,100.4,100.4,11.1,90.2,65.9,91.8,59,0.04,7.42,-57.4,4.76,0,0.03,-0.16,-0.6,-2.6,15.75,49.36,0.161,0.036,0.229,1.214,0,4.51,30.5,44.9491,-73.15554
5/17/19,9:35:01,MissRivDelta,,,10.902,751.5,100.4,100.4,11.09,90.4,66,92,59,0.04,7.42,-57.3,4.72,0,0.05,-0.15,-0.51,-2.5,15.73,49.31,0.161,0.033,0.229,1.214,0,4.5,29.9,44.94942,-73.15622
5/17/19,9:36:01,MissRivDelta,,,10.912,751.6,100.3,100.3,11.08,90.5,66.2,92.1,59,0.04,7.42,-57.4,4.74,0,-0.11,-0.2,-0.58,-2.57,15.73,49.3,0.154,0.034,0.219,1.214,0,4.48,31.3,44.94973,-73.15692
5/17/19,9:37:01,MissRivDelta,,,10.942,751.6,100.3,100.3,11.07,90.8,66.4,92.4,59,0.04,7.42,-57.3,4.72,0,-0.05,-0.18,-0.55,-2.55,15.72,49.27,0.16,0.033,0.228,1.214,0,4.48,30.2,44.94998,-73.15768
5/17/19,9:38:01,MissRivDelta,,,10.943,751.4,100.2,100.2,11.07,90.7,66.4,92.3,59,0.04,7.41,-56.9,4.75,0,0.03,-0.16,-0.6,-2.6,15.7,49.21,0.168,0.042,0.24,1.214,0,4.46,33.8,44.95022,-73.15845
5/17/19,9:39:01,MissRivDelta,,,10.954,751.4,100.2,100.2,11.06,90.8,66.4,92.4,59,0.04,7.41,-56.8,4.78,0,0.04,-0.16,-0.55,-2.55,15.68,49.15,0.167,0.039,0.237,1.214,0,4.44,33.5,44.95052,-73.15917
5/17/19,9:40:01,MissRivDelta,,,10.964,751.5,100.3,100.3,11.06,90.6,66.3,92.2,59,0.04,7.41,-56.9,4.72,0,-0.07,-0.19,-0.51,-2.5,15.66,49.09,0.155,0.014,0.221,1.214,0,4.43,29.2,44.95085,-73.15988
5/17/19,9:41:01,MissRivDelta,,,10.965,751.5,100.3,100.3,11.07,90.5,66.2,92.1,59,0.04,7.41,-56.8,4.67,0,0.05,-0.15,-0.51,-2.5,15.67,49.09,0.163,0.035,0.231,1.214,0,4.45,29.4,44.95121,-73.16054
5/17/19,9:42:01,MissRivDelta,,,10.964,751.4,100.3,100.3,11.07,90.4,66.1,92,59,0.04,7.41,-56.5,4.67,0,-0.01,-0.17,-0.57,-2.56,15.66,49.07,0.163,0.039,0.232,1.214,0,4.46,28.2,44.95155,-73.16119
5/17/19,9:43:01,MissRivDelta,,,10.973,751.3,100.3,100.3,11.07,90.3,66.1,91.9,59,0.04,7.4,-56.4,4.77,0,0.07,-0.15,-0.55,-2.55,15.64,49,0.163,0.027,0.232,1.214,0,4.44,26.1,44.95194,-73.16176
5/17/19,9:44:01,MissRivDelta,,,10.99,751.3,100.4,100.4,11.07,90.2,66.1,91.8,59,0.04,7.4,-56.4,4.76,0,-0.06,-0.19,-0.6,-2.6,15.6,48.89,0.153,0.029,0.218,1.214,0,4.45,29,44.95235,-73.16227
5/17/19,9:45:01,MissRivDelta,,,10.988,751.3,100.3,100.3,11.06,90.2,66.1,91.8,59,0.04,7.4,-56.4,4.73,0,0.05,-0.15,-0.53,-2.52,15.63,49,0.172,0.041,0.245,1.214,0,4.44,27.3,44.95284,-73.16268
