Date,Time,Site,Unit ID,User ID,C-15F102377,mmHg-18B100990,DO %-15F101915,DO %L-15F101915,DO mg/L-15F101915,SPC-uS/cm-15F102377,C-uS/cm-15F102377,nLFC-uS/cm-15F102377,TDS mg/L-15F102377,SAL-PSU-15F102377,pH-17D108473,pH mV-17D108473,FNU-15E103685,TSS mg/L-15E103685,BGA-PC RFU-15F101336,BGA-PCug/L-15F101336,Chl RFU-15F101336,Chl ug/L-15F101336,fDOM RFU-13M100089,fDOM QSU-13M100089,DEP m-15F100474,Vpos m-15F100474,DEP psia-15F100474,Wiper V-15F101248,Cable V-18B100990,Batt V-18B100990,ALT m-18B100990,Lat-18B100990,Lon-18B100990
7/3/19,10:03:38,Miss wetland,,,25.242,755.5,97.5,97.5,8.02,130.4,131,130.3,85,0.06,7.76,-45.7,1.45,0,-0.04,-0.18,-0.02,-1.96,9.24,29.32,0.286,0.222,0.406,1.196,0,4.43,32.1,44.94429,-73.14547
7/3/19,10:04:38,Miss wetland,,,25.235,755.7,97.3,97.3,8,130.4,131,130.4,85,0.06,7.74,-44.4,1.46,0,-0.03,-0.18,0.06,-1.86,9.26,29.38,0.279,0.225,0.396,1.196,0,4.39,26.7,44.9443,-73.14553
7/3/19,10:05:38,Miss wetland,,,25.226,755.7,97.5,97.5,8.02,130.4,131,130.4,85,0.06,7.73,-44,1.56,0,0.06,-0.15,0.08,-1.85,9.26,29.37,0.275,0.207,0.39,1.196,0,4.34,25.5,44.9443,-73.14557
7/3/19,10:06:38,Miss wetland,,,25.548,755.7,97.4,97.4,7.97,130.3,131.7,130.2,85,0.06,7.68,-40.8,1.46,0,-0.03,-0.18,-0.16,-2.11,8.89,28.22,0.276,0.201,0.391,1.196,0,4.37,28.7,44.94451,-73.14604
7/3/19,10:07:38,Miss wetland,,,25.476,755.7,97.6,97.6,7.99,130.4,131.6,130.2,85,0.06,7.68,-41,1.42,0,0.01,-0.16,-0.01,-1.95,8.9,28.27,0.29,0.204,0.412,1.196,0,4.34,29.8,44.94461,-73.14627
7/3/19,10:08:38,Miss wetland,,,25.578,755.6,97.6,97.6,7.98,130.4,131.8,130.2,85,0.06,7.66,-39.9,1.47,0,-0.04,-0.18,-0.18,-2.14,8.92,28.33,0.282,0.206,0.399,1.196,0,4.36,28.7,44.94476,-73.1466
7/3/19,10:09:38,Miss wetland,,,25.494,755.7,97.7,97.7,8,130.4,131.6,130.3,85,0.06,7.63,-37.6,1.48,0,-0.05,-0.18,-0.19,-2.15,8.93,28.35,0.286,0.223,0.406,1.196,0,4.33,29.1,44.94499,-73.14714
7/3/19,10:10:38,Miss wetland,,,25.8,755.7,97.5,97.5,7.94,130.2,132.2,130,85,0.06,7.61,-36.6,1.52,0,-0.06,-0.19,-0.27,-2.23,8.75,27.8,0.287,0.22,0.407,1.196,0,4.31,26.9,44.94518,-73.14768
7/3/19,10:11:38,Miss wetland,,,25.614,755.7,96.9,96.9,7.92,130,131.6,129.9,85,0.06,7.61,-36.9,1.58,0,-0.03,-0.18,-0.25,-2.22,8.9,28.26,0.296,0.226,0.419,1.196,0,4.32,28.7,44.94536,-73.14809
7/3/19,10:12:38,Miss wetland,,,25.466,755.7,97,97,7.94,130.2,131.3,130.1,85,0.06,7.59,-35.8,1.53,0,-0.01,-0.17,-0.11,-2.06,8.95,28.43,0.28,0.202,0.398,1.196,0,4.3,28.7,44.94561,-73.14863
7/3/19,10:13:38,Miss wetland,,,25.483,755.8,97.1,97.1,7.95,130,131.2,129.8,84,0.06,7.56,-33.7,1.67,0,-0.07,-0.19,-0.23,-2.19,9.02,28.63,0.278,0.204,0.395,1.196,0,4.29,28.5,44.94583,-73.14928
7/3/19,10:14:38,Miss wetland,,,25.739,755.6,97.2,97.2,7.93,130,131.8,129.8,84,0.06,7.52,-31.2,1.66,0,-0.09,-0.19,-0.15,-2.1,8.87,28.16,0.259,0.189,0.367,1.196,0,4.24,29.3,44.94612,-73.15001
7/3/19,10:15:38,Miss wetland,,,26.06,755.7,97.6,97.6,7.91,130.2,132.8,129.9,85,0.06,7.52,-31.4,1.44,0,-0.06,-0.19,-0.19,-2.15,8.56,27.21,0.259,0.187,0.367,1.196,0,4.26,29.5,44.94645,-73.15073
7/3/19,10:16:38,Miss wetland,,,26.071,755.7,97.8,97.8,7.92,130.3,133,130,85,0.06,7.53,-32.1,1.38,0,0,-0.17,-0.15,-2.1,8.51,27.06,0.26,0.198,0.369,1.196,0,4.28,30,44.94678,-73.15134
7/3/19,10:17:38,Miss wetland,,,26.042,755.7,98.3,98.3,7.97,130.5,133.1,130.2,85,0.06,7.54,-32.4,1.4,0,-0.01,-0.17,-0.22,-2.18,8.53,27.11,0.255,0.188,0.362,1.196,0,4.27,30.2,44.94713,-73.15199
7/3/19,10:18:38,Miss wetland,,,25.942,755.7,97.9,97.9,7.95,130.3,132.6,130,85,0.06,7.53,-32.2,1.44,0,-0.03,-0.18,-0.19,-2.15,8.6,27.34,0.243,0.187,0.345,1.196,0,4.24,30.9,44.94749,-73.15267
7/3/19,10:19:38,Miss wetland,,,25.97,755.8,98.5,98.5,8,130.6,133,130.3,85,0.06,7.53,-31.9,1.43,0,0,-0.17,-0.11,-2.06,8.59,27.3,0.254,0.192,0.36,1.196,0,4.26,31.3,44.94785,-73.15337
7/3/19,10:20:38,Miss wetland,,,25.778,755.7,96.9,96.9,7.89,130.1,132,129.9,85,0.06,7.51,-31.1,1.48,0,-0.03,-0.18,-0.11,-2.05,8.73,27.74,0.255,0.188,0.362,1.196,0,4.26,31.5,44.94818,-73.15406
7/3/19,10:21:38,Miss wetland,,,25.868,755.7,97,97,7.89,130.1,132.2,129.8,85,0.06,7.54,-32.4,1.54,0,-0.11,-0.2,-0.1,-2.04,8.76,27.84,0.276,0.19,0.392,1.196,0,4.22,31.5,44.94843,-73.15451
7/3/19,10:22:38,Miss wetland,,,26.022,755.8,97,97,7.86,130,132.5,129.7,85,0.06,7.53,-31.8,1.43,0,-0.13,-0.21,-0.17,-2.12,8.63,27.43,0.272,0.203,0.385,1.196,0,4.19,31.1,44.94872,-73.15504
7/3/19,10:23:38,Miss wetland,,,26.078,755.8,96.5,96.5,7.81,130,132.6,129.7,84,0.06,7.49,-29.6,1.4,0,0.02,-0.16,-0.23,-2.19,8.62,27.41,0.257,0.18,0.365,1.196,0,4.23,29.1,44.94901,-73.15575
7/3/19,10:24:38,Miss wetland,,,26.074,755.8,96.5,96.5,7.82,129.9,132.5,129.6,84,0.06,7.48,-28.8,1.44,0,0.04,-0.15,-0.27,-2.24,8.67,27.55,0.255,0.183,0.362,1.196,0,4.21,29.4,44.94935,-73.15656
7/3/19,10:25:38,Miss wetland,,,25.93,755.8,95.7,95.7,7.77,129.6,131.9,129.4,84,0.06,7.47,-28.6,1.5,0,0,-0.17,-0.18,-2.13,8.72,27.72,0.256,0.19,0.364,1.196,0,4.23,27.9,44.94969,-73.15733
7/3/19,10:26:38,Miss wetland,,,26.248,755.6,96.4,96.4,7.78,129.7,132.8,129.3,84,0.06,7.47,-28.6,1.43,0,-0.07,-0.19,-0.16,-2.11,8.6,27.33,0.255,0.187,0.362,1.196,0,4.22,28.7,44.95002,-73.15806
7/3/19,10:27:38,Miss wetland,,,26.071,755.8,94.3,94.3,7.64,129.1,131.7,128.8,84,0.06,7.43,-26.1,1.8,0,-0.12,-0.2,-0.03,-1.97,8.8,27.97,0.253,0.193,0.359,1.196,0,4.2,30,44.95036,-73.15878
7/3/19,10:28:38,Miss wetland,,,26.211,755.8,93.8,93.8,7.58,129,132,128.7,84,0.06,7.41,-25,1.75,0,-0.06,-0.18,-0.06,-2,8.78,27.89,0.246,0.19,0.348,1.196,0,4.21,32.8,44.95073,-73.15948
7/3/19,10:29:38,Miss wetland,,,26.142,755.7,94.2,94.2,7.62,129.3,132.1,129,84,0.06,7.41,-24.9,1.54,0,-0.17,-0.22,-0.12,-2.06,8.67,27.57,0.25,0.176,0.354,1.196,0,4.21,31.6,44.95111,-73.1602
7/3/19,10:30:38,Miss wetland,,,26.192,755.8,93.8,93.8,7.58,128.9,131.9,128.6,84,0.06,7.43,-26.1,1.68,0,-0.1,-0.2,-0.13,-2.08,8.74,27.77,0.261,0.158,0.371,1.196,0,4.16,31.8,44.95144,-73.16082
7/3/19,10:31:38,Miss wetland,,,25.778,755.8,93,93,7.57,128.9,130.9,128.7,84,0.06,7.39,-23.9,1.69,0,-0.15,-0.21,-0.03,-1.97,8.93,28.37,0.249,0.181,0.352,1.196,0,4.17,32,44.95193,-73.1616
7/3/19,10:32:38,Miss wetland,,,25.748,755.7,93.1,93.1,7.59,128.9,130.7,128.7,84,0.06,7.4,-24.3,1.74,0,-0.09,-0.19,-0.16,-2.11,8.94,28.39,0.254,0.179,0.361,1.196,0,4.2,32.5,44.95244,-73.16225
7/3/19,10:33:38,Miss wetland,,,25.902,755.8,93.3,93.3,7.58,128.8,131,128.5,84,0.06,7.39,-23.8,1.72,0,-0.07,-0.19,-0.23,-2.19,8.86,28.13,0.244,0.184,0.347,1.196,0,4.19,35.3,44.95301,-73.1628
7/3/19,10:34:38,Miss wetland,,,25.9,755.8,93.3,93.3,7.59,128.6,130.9,128.4,84,0.06,7.39,-23.9,1.65,0,-0.07,-0.19,-0.1,-2.04,8.84,28.09,0.259,0.189,0.367,1.196,0,4.19,34,44.95359,-73.16322
7/3/19,10:35:38,Miss wetland,,,25.878,755.8,93.5,93.5,7.6,128.6,130.8,128.4,84,0.06,7.4,-24.5,1.6,0,-0.03,-0.18,-0.22,-2.18,8.84,28.09,0.257,0.192,0.364,1.196,0,4.19,33.2,44.95417,-73.16363
7/3/19,10:36:38,Miss wetland,,,25.928,755.8,93.6,93.6,7.6,128.4,130.6,128.1,83,0.06,7.39,-23.6,1.77,0,-0.05,-0.18,-0.13,-2.07,8.86,28.14,0.261,0.193,0.37,1.196,0,4.17,33.3,44.95472,-73.16405
7/3/19,10:37:38,Miss wetland,,,26.087,755.8,94,94,7.62,127.8,130.5,127.5,83,0.06,7.36,-21.7,2.35,0,-0.13,-0.21,-0.13,-2.07,9.02,28.63,0.255,0.194,0.362,1.196,0,4.18,33.6,44.95531,-73.16444
7/3/19,10:38:38,Miss wetland,,,26.12,755.8,92.9,92.9,7.52,127.9,130.7,127.7,83,0.06,7.33,-19.9,2.52,0,-0.09,-0.19,-0.13,-2.08,9.01,28.61,0.261,0.198,0.371,1.196,0,4.16,32.8,44.95591,-73.16477
7/3/19,10:39:38,Miss wetland,,,26.21,755.8,92.9,92.9,7.5,128.1,131.1,127.8,83,0.06,7.32,-19.5,2.62,0,-0.07,-0.19,-0.07,-2.01,9.02,28.64,0.264,0.187,0.374,1.196,0,4.14,32.1,44.95649,-73.16507
