Date,Time,Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond uS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond uS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond uS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
8/14/19,9:45:02,Miss wetland,0.12,-1.81,133.6,0.104,34.48,10.92,138.1,92.2,93.3,7.84,0.147,0.06,137.7,-0.06,-0.19,89,2,0,1.185,7.71,-51.8,23.43,0.06,44.94614,-73.14784,32,5.52,0,757.1
8/14/19,9:46:02,Miss wetland,0.19,-1.72,133.6,0.089,34.5,10.93,138.1,92.1,93.3,7.84,0.127,0.06,137.7,-0.13,-0.21,90,1.99,0,1.185,7.71,-51.6,23.441,0.045,44.94613,-73.14783,24.3,5.51,0,757.3
8/14/19,9:47:02,Miss wetland,0.17,-1.74,133.6,0.073,34.43,10.9,138.1,92.4,93.5,7.86,0.104,0.06,137.7,0,-0.17,89,1.91,0,1.185,7.69,-50.4,23.451,0.03,44.94616,-73.14787,27.7,5.48,0,757.2
8/14/19,9:48:02,Miss wetland,0.23,-1.68,133.7,0.085,33.97,10.75,138,94.4,95.5,8.02,0.12,0.06,137.6,0.06,-0.15,89,4.36,0,1.185,7.71,-51.9,23.505,0.014,44.94615,-73.14788,30.5,5.48,0,757.3
8/14/19,9:49:02,Miss wetland,0.17,-1.75,133.5,0.078,34.44,10.91,138,93,94.1,7.91,0.111,0.06,137.6,-0.07,-0.19,89,2.14,0,1.185,7.72,-52.6,23.433,0.027,44.94621,-73.14778,27,5.48,0,757.3
8/14/19,9:50:02,Miss wetland,0.09,-1.83,133.2,0.044,34.4,10.89,137.6,92.2,93.3,7.84,0.063,0.06,137.2,-0.11,-0.2,89,2.38,0,1.185,7.71,-51.7,23.459,-0.023,44.94628,-73.14771,29.2,5.46,0,757.3
8/14/19,9:51:02,Miss wetland,0.14,-1.78,133.3,0.036,34.46,10.91,137.7,92.3,93.4,7.84,0.051,0.06,137.3,-0.07,-0.19,89,1.98,0,1.185,7.7,-51.4,23.472,-0.006,44.94632,-73.14767,30.9,5.47,0,757.1
8/14/19,9:52:02,Miss wetland,0.03,-1.9,133.2,0.032,34.65,10.97,137.9,92.5,93.6,7.87,0.045,0.06,137.4,-0.08,-0.19,89,2.08,0,1.185,7.7,-51.4,23.398,-0.016,44.94656,-73.14746,31.4,5.44,0,757.3
8/14/19,9:53:02,Miss wetland,0.05,-1.88,133.8,0.037,34.81,11.03,138.6,91.8,92.9,7.82,0.053,0.06,138.2,-0.08,-0.19,90,2.19,0,1.185,7.69,-50.7,23.348,-0.013,44.94712,-73.14706,27.9,5.42,0,757.3
8/14/19,9:54:02,Miss wetland,0,-1.94,133.7,0.042,34.63,10.97,138.4,91.6,92.7,7.79,0.06,0.06,138,-0.07,-0.19,90,2.21,0,1.185,7.69,-50.4,23.384,0.001,44.94785,-73.14658,29.3,5.46,0,757.3
8/14/19,9:55:02,Miss wetland,0.03,-1.9,133.5,0.054,34.47,10.92,138.3,91.9,93,7.83,0.076,0.06,137.8,-0.04,-0.18,90,2.24,0,1.185,7.69,-50.7,23.37,-0.021,44.94837,-73.14639,29.5,5.45,0,757.3
