Date,Time,Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % local,ODO mg/L,Pressure psi a,Sal psu,SpCond uS/cm,BGA PC RFU,BGA PC ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,Wiper Position volt,pH,pH mV,Temp C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
10/21/19,10:02:02,0,Miss wetland,-0.95,-2.99,57.7,0.207,72.76,23.35,86.7,97.7,97.7,11.54,0.294,0.04,85.2,-0.05,-0.18,55,4.58,0,1.187,7.56,-48.1,8.101,0.209,44.94614,-73.14745,29,6.11,0,763.3
10/21/19,10:03:02,0,Miss wetland,-1.01,-3.06,57.7,0.2,72.44,23.25,86.7,97.8,97.8,11.55,0.284,0.04,85.2,-0.16,-0.21,55,5,0,1.187,7.54,-46.9,8.1,0.194,44.94639,-73.14758,24.8,6.11,0,763.3
10/21/19,10:04:02,0,Miss wetland,-0.96,-2.99,57.7,0.198,72.28,23.2,86.7,97.6,97.7,11.54,0.282,0.04,85.2,-0.06,-0.18,55,5.11,0,1.187,7.5,-44.8,8.084,0.2,44.94657,-73.14763,27.2,6.1,0,763.4
10/21/19,10:05:02,0,Miss wetland,-1.02,-3.07,57.7,0.202,72.28,23.2,86.7,97.7,97.7,11.54,0.287,0.04,85.2,-0.1,-0.2,55,4.93,0,1.187,7.47,-42.8,8.092,0.203,44.94664,-73.14763,26.5,6.1,0,763.3
10/21/19,10:06:02,0,Miss wetland,-1,-3.05,57.8,0.194,72.12,23.15,86.9,97.7,97.7,11.54,0.276,0.04,85.4,-0.06,-0.18,56,5.14,0,1.187,7.45,-41.5,8.086,0.197,44.94705,-73.14713,26.4,6.09,0,763.5
10/21/19,10:07:02,0,Miss wetland,-1.02,-3.06,57.8,0.2,72.14,23.15,86.9,97.6,97.6,11.54,0.284,0.04,85.4,-0.06,-0.18,56,5.16,0,1.187,7.42,-40.3,8.086,0.203,44.94758,-73.14666,26.6,6.08,0,763.6
10/21/19,10:08:02,0,Miss wetland,-1.01,-3.05,57.8,0.195,72.19,23.17,86.8,97.7,97.7,11.54,0.277,0.04,85.3,-0.1,-0.2,55,5.12,0,1.187,7.41,-39.5,8.088,0.195,44.94815,-73.14633,26.9,6.08,0,763.6
10/21/19,10:09:02,0,Miss wetland,-1.03,-3.08,57.7,0.198,72.29,23.2,86.8,97.7,97.7,11.54,0.281,0.04,85.3,-0.07,-0.19,55,5.16,0,1.187,7.4,-38.9,8.098,0.193,44.94878,-73.14622,28.8,6.07,0,763.6
10/21/19,10:10:02,0,Miss wetland,-1.04,-3.09,57.8,0.202,72.28,23.2,86.8,97.7,97.7,11.54,0.287,0.04,85.3,-0.1,-0.2,55,5.23,0,1.187,7.4,-38.7,8.093,0.202,44.94937,-73.1463,27.4,6.07,0,763.6
10/21/19,10:11:02,0,Miss wetland,-1.03,-3.08,57.8,0.202,72.31,23.21,86.8,97.7,97.7,11.54,0.288,0.04,85.3,-0.11,-0.2,55,5.05,0,1.187,7.39,-38.3,8.109,0.203,44.94991,-73.14651,26.1,6.06,0,763.6
10/21/19,10:12:02,0,Miss wetland,-1.02,-3.06,57.8,0.194,72.29,23.2,86.8,97.6,97.7,11.53,0.276,0.04,85.3,-0.07,-0.19,55,5.06,0,1.187,7.39,-38.5,8.112,0.195,44.95044,-73.14682,23.9,6.05,0,763.6
10/21/19,10:13:02,0,Miss wetland,-1.04,-3.09,57.8,0.202,72.22,23.18,86.8,97.6,97.7,11.53,0.287,0.04,85.3,-0.03,-0.18,55,5.13,0,1.187,7.38,-38,8.107,0.2,44.95098,-73.14701,22.2,6.03,0,763.6
10/21/19,10:14:02,0,Miss wetland,-0.98,-3.02,57.9,0.195,72.2,23.17,86.9,97.6,97.6,11.53,0.278,0.04,85.4,-0.07,-0.19,56,5.1,0,1.187,7.37,-37.5,8.096,0.185,44.95147,-73.14656,27.5,6.02,0,763.6
10/21/19,10:15:02,0,Miss wetland,-1.06,-3.11,57.9,0.205,72.17,23.16,87,97.5,97.5,11.52,0.291,0.04,85.5,-0.05,-0.18,56,5.19,0,1.187,7.36,-36.7,8.098,0.207,44.95151,-73.14574,28.1,6.04,0,763.6
