DateTimeS,r_timestamp,transect,dist_from_prev_m,dist_cum_m,lat,lon,elev,Date,Time,temp_c,do_per,do_mgl,spc_uscm,tds_mgl,ph,chla_ugl,fdom_qsu,scan_NO3_mgNL,scan_DOC_mgCL,NO3_UM,NH4_UM,PO4_UM,NO3_mgNL,NH4_mgNL,PO4_mgPL,TDN_UM,TDN_mgNL,TDP_UM,TDP_mgPL,TN_UM,TN_mgNL,TP_UM,TP_mgPL,tss_mgL,NPOC_mgCL,Al_ppb_0.45,Si_ppb_0.45,P_ppb_0.45,Mn_ppb_0.45,Fe_ppb_0.45
2019-05-17T13:24:00Z,2019-05-17 09:24:00,Main,0,0,44.94539913,-73.14809372,0.1842,5/17/19,09:24:01,10.82,100.4,11.11,90.5,59,7.46,-2.54,49.75,0.356673395773227,3.49503208953364,25.014,3.872,0.189,0.350363594,0.054233942,0.00584766,41.083,0.575474231,0.384,0.01188096,41.69,0.583976844,0.592,0.01831648,3.7,3.601,23.56114824,2100.937239,10.28074807,27.64888968,94.35202529
2019-05-17T13:25:00Z,2019-05-17 09:25:00,Main,64.00190887,64.00190887,44.94565506,-73.1488202,0.1849,5/17/19,09:25:01,10.839,100.4,11.11,90.7,59,7.45,-2.61,49.63,0.356930309436224,3.46993977842006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17T13:26:00Z,2019-05-17 09:26:00,Main,64.76704563,128.7689545,44.9459602,-73.14951938,0.1808,5/17/19,09:26:01,10.85,100.3,11.1,90.8,59,7.45,-2.52,49.6,0.357401325373898,3.48137420661154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17T13:27:00Z,2019-05-17 09:27:00,Main,64.80877564,193.5777301,44.94626896,-73.15021603,0.1855,5/17/19,09:27:01,10.851,100.4,11.11,90.6,59,7.45,-2.57,49.61,0.358314688579322,3.46647562759984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17T13:28:00Z,2019-05-17 09:28:00,Main,65.00413196,258.5818621,44.94658259,-73.1509113,0.1865,5/17/19,09:28:01,10.854,100.4,11.11,90.5,59,7.44,-2.61,49.55,0.357762095437232,3.4628500539721,25.144,3.976,0.19,0.352184465,0.055690639,0.0058786,41.923,0.587240615,0.387,0.01197378,41.124,0.576048542,0.465,0.0143871,3.02,3.457,22.68638822,2065.193053,10.03601265,27.07900546,92.36963315
2019-05-17T13:29:00Z,2019-05-17 09:29:00,Main,64.64445748,323.2263196,44.94689584,-73.15160149,0.1621,5/17/19,09:29:01,10.863,100.4,11.1,90.5,59,7.44,-2.49,49.47,0.357805214247293,3.469342421116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17T13:30:00Z,2019-05-17 09:30:00,Main,65.83592926,389.0622488,44.94720616,-73.15231211,0.1674,5/17/19,09:30:01,10.854,100.3,11.1,90.4,59,7.44,-2.51,49.51,0.356226339262517,3.45494116563065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17T13:31:00Z,2019-05-17 09:31:00,Main,65.44014436,454.5023932,44.94756422,-73.1529704,0.1641,5/17/19,09:31:01,10.854,100.4,11.11,90.3,59,7.43,-2.37,49.49,0.357721864998367,3.45282561287692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17T13:32:00Z,2019-05-17 09:32:00,Main,65.04678169,519.5491749,44.94794541,-73.15359588,0.1557,5/17/19,09:32:01,10.857,100.4,11.11,90.1,59,7.43,-2.55,49.46,0.356978467395082,3.4498434814538,25.243,3.651,0.185,0.353571128,0.051138462,0.0057239,41.544,0.581931734,0.391,0.01209754,41.968,0.587870957,0.586,0.01813084,3.9,3.463,23.28566141,2038.867537,9.165839265,26.61335551,94.29871129
2019-05-17T13:33:00Z,2019-05-17 09:33:00,Main,64.62601574,584.1751906,44.94832684,-73.15421402,0.1527,5/17/19,09:33:01,10.863,100.5,11.11,90,59,7.42,-2.45,49.43,0.355761839424189,3.45893942251881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
