"","hobo_stage","r_timestamp","offset","hobo_stage_int","corr_stage","HF_best_q"
"1",0.676,2019-03-22 12:00:00,0.1597,0.772668,0.612968,3.16102267435796
"2",0.674,2019-03-22 12:15:00,0.1597,0.771082,0.611382,3.14225594140206
"3",0.672,2019-03-22 12:30:00,0.1597,0.769496,0.609796,3.12355231241787
"4",0.679,2019-03-22 12:45:00,0.1597,0.775047,0.615347,3.18929120047237
"5",0.679,2019-03-22 13:00:00,0.1597,0.775047,0.615347,3.18929120047237
"6",0.673,2019-03-22 13:15:00,0.1597,0.770289,0.610589,3.13289624196719
"7",0.678,2019-03-22 13:30:00,0.1597,0.774254,0.614554,3.17985256008914
"8",0.683,2019-03-22 13:45:00,0.1597,0.778219,0.618519,3.22720388728472
"9",0.676,2019-03-22 14:00:00,0.1597,0.772668,0.612968,3.16102267435796
"10",0.683,2019-03-22 14:15:00,0.1597,0.778219,0.618519,3.22720388728472
"11",0.685,2019-03-22 14:30:00,0.1597,0.779805,0.620105,3.24625519078306
"12",0.688,2019-03-22 14:45:00,0.1597,0.782184,0.622484,3.27495098232483
"13",0.687,2019-03-22 15:00:00,0.1597,0.781391,0.621691,3.26536986558295
"14",0.692,2019-03-22 15:15:00,0.1597,0.785356,0.625656,3.3134341189243
"15",0.692,2019-03-22 15:30:00,0.1597,0.785356,0.625656,3.3134341189243
"16",0.689,2019-03-22 15:45:00,0.1597,0.782977,0.623277,3.2845479600059
"17",0.692,2019-03-22 16:00:00,0.1597,0.785356,0.625656,3.3134341189243
"18",0.698,2019-03-22 16:15:00,0.1597,0.790114,0.630414,3.37163549403384
"19",0.702,2019-03-22 16:30:00,0.1597,0.793286,0.633586,3.41075475016477
"20",0.704,2019-03-22 16:45:00,0.1597,0.794872,0.635172,3.43041002334737
"21",0.708,2019-03-22 17:00:00,0.1597,0.798044,0.638344,3.46991209794095
"22",0.702,2019-03-22 17:15:00,0.1597,0.793286,0.633586,3.41075475016477
"23",0.711,2019-03-22 17:30:00,0.1597,0.800423,0.640723,3.49970642797391
"24",0.709,2019-03-22 17:45:00,0.1597,0.798837,0.639137,3.47982755292757
"25",0.706,2019-03-22 18:00:00,0.1597,0.796458,0.636758,3.45012912343429
"26",0.709,2019-03-22 18:15:00,0.1597,0.798837,0.639137,3.47982755292757
"27",0.704,2019-03-22 18:30:00,0.1597,0.794872,0.635172,3.43041002334737
