Date,reach,var,term,estimate,std.error,statistic,p.value,sig_or_not,r.squared,adj.r.squared
5/17/19,upper,temp_c,dist_cum_m,2e-4,0,34.596214045157886,0,sig,0.92,0.92
5/17/19,upper,do_per,dist_cum_m,-1e-4,0,-6.630586197799103,0,sig,0.3,0.29
5/17/19,upper,do_mgl,dist_cum_m,-1e-4,0,-19.718500491073584,0,sig,0.79,0.79
5/17/19,upper,spc_uscm,dist_cum_m,-3e-4,0,-10.092869182274555,0,sig,0.5,0.49
5/17/19,upper,tds_mgl,dist_cum_m,-3e-4,0,-12.275749175639621,0,sig,0.59,0.59
5/17/19,upper,ph,dist_cum_m,-0,0,-32.373555758139965,0,sig,0.91,0.91
5/17/19,upper,chla_ugl,dist_cum_m,-0,0,-4.9046445135046595,0,sig,0.19,0.18
5/17/19,upper,fdom_qsu,dist_cum_m,-7e-4,0,-55.60599644876971,0,sig,0.97,0.97
5/17/19,upper,scan_NO3_mgNL,dist_cum_m,-0,0,-13.655757409870375,0,sig,0.64,0.64
5/17/19,upper,scan_DOC_mgCL,dist_cum_m,-0,0,-29.00111564128945,0,sig,0.89,0.89
5/17/19,upper,NO3_UM,dist_cum_m,-1e-4,1e-4,-2.7426464574101987,0.0113,sig,0.24,0.21
5/17/19,upper,NH4_UM,dist_cum_m,-1e-4,0,-3.5379823264335113,0.0017,sig,0.34,0.32
5/17/19,upper,PO4_UM,dist_cum_m,-0,0,-1.2417670773926264,0.2263,not_sig,0.06,0.02
5/17/19,upper,NO3_mgNL,dist_cum_m,-0,0,-2.74264642596312,0.0113,sig,0.24,0.21
5/17/19,upper,NH4_mgNL,dist_cum_m,-0,0,-3.5379821865000487,0.0017,sig,0.34,0.32
5/17/19,upper,PO4_mgPL,dist_cum_m,-0,0,-1.2417670773926277,0.2263,not_sig,0.06,0.02
5/17/19,upper,TDN_UM,dist_cum_m,-5e-4,1e-4,-6.835230386572203,0,sig,0.66,0.65
5/17/19,upper,TDN_mgNL,dist_cum_m,-0,0,-6.835230399566467,0,sig,0.66,0.65
5/17/19,upper,TDP_UM,dist_cum_m,-0,0,-2.740976655481725,0.0114,sig,0.24,0.21
5/17/19,upper,TDP_mgPL,dist_cum_m,-0,0,-2.74097665548172,0.0114,sig,0.24,0.21
5/17/19,upper,TN_UM,dist_cum_m,-3e-4,1e-4,-5.785235355030484,0,sig,0.58,0.56
5/17/19,upper,TN_mgNL,dist_cum_m,-0,0,-5.785235370025523,0,sig,0.58,0.56
5/17/19,upper,TP_UM,dist_cum_m,-0,0,-0.7995923143593506,0.4318,not_sig,0.03,-0.01
5/17/19,upper,TP_mgPL,dist_cum_m,-0,0,-0.7995923143593583,0.4318,not_sig,0.03,-0.01
5/17/19,upper,tss_mgL,dist_cum_m,1e-4,1e-4,0.9734405593786053,0.34,not_sig,0.04,-0
5/17/19,upper,NPOC_mgCL,dist_cum_m,-0,0,-2.9030463991454587,0.0078,sig,0.26,0.23
5/17/19,upper,Al_ppb_0.45,dist_cum_m,0,1e-4,0.09998621648370355,0.9212,not_sig,0,-0.04
5/17/19,upper,Si_ppb_0.45,dist_cum_m,-0.002,0.0033,-0.5937257109280321,0.5583,not_sig,0.01,-0.03
5/17/19,upper,P_ppb_0.45,dist_cum_m,-1e-4,0,-3.7214194359384867,0.0011,sig,0.37,0.34
5/17/19,upper,Mn_ppb_0.45,dist_cum_m,0.0013,3e-4,3.679076817188868,0.0012,sig,0.36,0.33
5/17/19,upper,Fe_ppb_0.45,dist_cum_m,0.0021,5e-4,4.07386847900648,4e-4,sig,0.41,0.38
5/17/19,upper,PN,dist_cum_m,0,0,1.8247140608592776,0.0805,not_sig,0.12,0.09
5/17/19,upper,DON,dist_cum_m,-0,0,-4.274660296906903,3e-4,sig,0.43,0.41
5/17/19,upper,PP,dist_cum_m,0,0,0.11412340058245739,0.9101,not_sig,0,-0.04
5/17/19,upper,DOP,dist_cum_m,-0,0,-1.0117270843286505,0.3218,not_sig,0.04,0
5/17/19,upper,TN_TP,dist_cum_m,-3e-4,5e-4,-0.6202586806916776,0.5409,not_sig,0.02,-0.03
5/17/19,upper,DIN_SRP,dist_cum_m,2e-4,9e-4,0.2280980822033988,0.8215,not_sig,0,-0.04
5/17/19,upper,DOC_TN,dist_cum_m,0,0,0.08717274364377807,0.9313,not_sig,0,-0.04
5/17/19,upper,DOC_TP,dist_cum_m,-0.0018,0.0036,-0.49707581098149556,0.6237,not_sig,0.01,-0.03
5/17/19,upper,DOC_DIN,dist_cum_m,0,0,0.046648092324094774,0.9632,not_sig,0,-0.04
5/17/19,upper,DOC_SRP,dist_cum_m,0.0025,0.0126,0.2014501841478809,0.842,not_sig,0,-0.04
5/17/19,lower,temp_c,dist_cum_m,4e-4,2e-4,2.5029639621461075,0.0189,sig,0.19,0.16
5/17/19,lower,do_per,dist_cum_m,-0.0015,5e-4,-3.2989568696594787,0.0028,sig,0.3,0.27
5/17/19,lower,do_mgl,dist_cum_m,-3e-4,1e-4,-3.3286240358347605,0.0026,sig,0.3,0.27
5/17/19,lower,spc_uscm,dist_cum_m,-0.0041,5e-4,-7.64610743606284,0,sig,0.69,0.68
5/17/19,lower,tds_mgl,dist_cum_m,-0.0026,3e-4,-7.494447730347537,0,sig,0.68,0.67
5/17/19,lower,ph,dist_cum_m,-1e-4,0,-9.844313140276231,0,sig,0.79,0.78
5/17/19,lower,chla_ugl,dist_cum_m,1e-4,0,2.63156801390387,0.0141,sig,0.21,0.18
5/17/19,lower,fdom_qsu,dist_cum_m,0.0051,6e-4,7.976262200166287,0,sig,0.71,0.7
5/17/19,lower,scan_NO3_mgNL,dist_cum_m,-0,0,-6.548241948204442,0,sig,0.62,0.61
5/17/19,lower,scan_DOC_mgCL,dist_cum_m,4e-4,1e-4,6.053816649121872,0,sig,0.58,0.57
5/17/19,lower,NO3_UM,dist_cum_m,-0.0032,9e-4,-3.562382569391435,0.0119,sig,0.68,0.63
5/17/19,lower,NH4_UM,dist_cum_m,-2e-4,3e-4,-0.6865028628584018,0.518,not_sig,0.07,-0.08
5/17/19,lower,PO4_UM,dist_cum_m,-0,0,-3.9555388108898617,0.0075,sig,0.72,0.68
5/17/19,lower,NO3_mgNL,dist_cum_m,-0,0,-3.562382589452507,0.0119,sig,0.68,0.63
