Date,var,term,estimate,change1KM,p.value,sig_or_not,std.error,statistic,r.squared,adj.r.squared
10/21/19,do_per,dist_cum_m,-4.6e-4,-0.46,0,sig,0,-38.906980173497374,0.92,0.92
5/17/19,do_per,dist_cum_m,-3.1e-4,-0.31,0,sig,0,-10.912706533211619,0.48,0.47
7/3/19,do_per,dist_cum_m,7.5e-4,0.75,0,sig,1e-4,13.371946800256335,0.58,0.58
8/14/19,do_per,dist_cum_m,7e-4,0.7,0,sig,1e-4,5.153835543803263,0.18,0.17
10/21/19,DON,dist_cum_m,-0,-0,0.09,not_sig,0,-1.7607672195666384,0.11,0.07
5/17/19,DON,dist_cum_m,0,0,0.2096,not_sig,0,1.2804822716670776,0.05,0.02
7/3/19,DON,dist_cum_m,0,0,0.0813,not_sig,0,1.8037063128942266,0.1,0.07
8/14/19,DON,dist_cum_m,-1e-5,-0.01,2e-4,sig,0,-4.328480243854366,0.43,0.41
10/21/19,DOP,dist_cum_m,-0,-0,0.5852,not_sig,0,-0.5526832064856191,0.01,-0.03
5/17/19,DOP,dist_cum_m,0,0,0.0043,sig,0,3.0699624371478804,0.23,0.2
7/3/19,DOP,dist_cum_m,0,0,0.0283,sig,0,2.3042733692656774,0.15,0.12
8/14/19,DOP,dist_cum_m,-0,-0,0.1379,not_sig,0,-1.5329112015315491,0.09,0.05
10/21/19,NH4_mgNL,dist_cum_m,-0,-0,0.5367,not_sig,0,-0.6261715678162796,0.01,-0.02
5/17/19,NH4_mgNL,dist_cum_m,-0,-0,0,sig,0,-5.323692707489392,0.47,0.45
7/3/19,NH4_mgNL,dist_cum_m,-0,-0,0,sig,0,-5.0685858073927195,0.46,0.44
8/14/19,NH4_mgNL,dist_cum_m,0,0,0.0068,sig,0,2.9491169368323087,0.26,0.23
10/21/19,NO3_mgNL,dist_cum_m,0,0,0.0293,sig,0,2.3071662280022687,0.17,0.14
5/17/19,NO3_mgNL,dist_cum_m,-1e-5,-0.01,0,sig,0,-5.8451350739552606,0.52,0.5
7/3/19,NO3_mgNL,dist_cum_m,-1e-5,-0.01,4e-4,sig,0,-4.008310591288525,0.35,0.33
8/14/19,NO3_mgNL,dist_cum_m,0,0,5e-4,sig,0,4.017771805073641,0.39,0.37
10/21/19,NPOC_mgCL,dist_cum_m,1e-5,0.01,0.6113,not_sig,0,0.51468006793654,0.01,-0.03
5/17/19,NPOC_mgCL,dist_cum_m,2e-5,0.02,0.2204,not_sig,0,1.2506189605721505,0.05,0.02
7/3/19,NPOC_mgCL,dist_cum_m,6e-5,0.060000000000000005,7e-4,sig,0,3.795273542980548,0.32,0.3
8/14/19,NPOC_mgCL,dist_cum_m,-1.1e-4,-0.11,0,sig,0,-7.782342649007012,0.7,0.69
10/21/19,ph,dist_cum_m,-1e-5,-0.01,0,sig,0,-15.299779712567037,0.65,0.65
5/17/19,ph,dist_cum_m,-3e-5,-0.030000000000000002,0,sig,0,-26.954517628508782,0.85,0.85
7/3/19,ph,dist_cum_m,-3e-5,-0.030000000000000002,0,sig,0,-15.295543021885027,0.64,0.64
8/14/19,ph,dist_cum_m,-1e-5,-0.01,0.0077,sig,0,-2.7104327584541643,0.06,0.05
10/21/19,PN,dist_cum_m,-0,-0,0.8747,not_sig,0,-0.1592273268920797,0,-0.04
5/17/19,PN,dist_cum_m,0,0,0.0145,sig,0,2.5838948091785006,0.17,0.15
7/3/19,PN,dist_cum_m,0,0,0.2533,not_sig,0,1.1646548074555627,0.04,0.01
8/14/19,PN,dist_cum_m,0,0,0.0379,sig,0,2.1877082298172366,0.16,0.12
10/21/19,PO4_mgPL,dist_cum_m,0,0,0.3906,not_sig,0,0.8730332566387895,0.03,-0.01
5/17/19,PO4_mgPL,dist_cum_m,-0,-0,0,sig,0,-5.278846567266161,0.47,0.45
7/3/19,PO4_mgPL,dist_cum_m,0,0,0.3041,not_sig,0,1.0456730072376001,0.04,0
8/14/19,PO4_mgPL,dist_cum_m,-0,-0,0.7238,not_sig,0,-0.3574499513188058,0.01,-0.03
10/21/19,PP,dist_cum_m,0,0,0.7586,not_sig,0,0.3105187625474122,0,-0.03
5/17/19,PP,dist_cum_m,-0,-0,0.4171,not_sig,0,-0.8221424946469261,0.02,-0.01
7/3/19,PP,dist_cum_m,0,0,0.1105,not_sig,0,1.6446139895907648,0.08,0.05
8/14/19,PP,dist_cum_m,0,0,0.0041,sig,0,3.145788145200833,0.28,0.25
10/21/19,spc_uscm,dist_cum_m,-7e-5,-0.06999999999999999,1e-4,sig,0,-4.10036082315072,0.12,0.11
5/17/19,spc_uscm,dist_cum_m,-5.7e-4,-0.57,0,sig,0,-12.802146102514843,0.56,0.55
7/3/19,spc_uscm,dist_cum_m,-1e-5,-0.01,0.8141,not_sig,0,-0.2356782224251908,0,-0.01
8/14/19,spc_uscm,dist_cum_m,0.00445,4.45,0,sig,1e-4,46.134632090135916,0.94,0.94
