Order,Date,var,change1KM,p.value,sig_or_not
4,10/21/19,do_per,-0.46,0,sig
1,5/17/19,do_per,-0.31,0,sig
2,7/3/19,do_per,0.75,0,sig
3,8/14/19,do_per,0.7,0,sig
4,10/21/19,DON,0,0.09,not_sig
1,5/17/19,DON,0,0.2096,not_sig
2,7/3/19,DON,0,0.0813,not_sig
3,8/14/19,DON,-0.01,2.00E-04,sig
4,10/21/19,DOP,0,0.5852,not_sig
1,5/17/19,DOP,0,0.0043,sig
2,7/3/19,DOP,0,0.0283,sig
3,8/14/19,DOP,0,0.1379,not_sig
4,10/21/19,NH4_mgNL,0,0.5367,not_sig
1,5/17/19,NH4_mgNL,0,0,sig
2,7/3/19,NH4_mgNL,0,0,sig
3,8/14/19,NH4_mgNL,0,0.0068,sig
4,10/21/19,NO3_mgNL,0,0.0293,sig
1,5/17/19,NO3_mgNL,-0.01,0,sig
2,7/3/19,NO3_mgNL,-0.01,4.00E-04,sig
3,8/14/19,NO3_mgNL,0,5.00E-04,sig
4,10/21/19,NPOC_mgCL,0.01,0.6113,not_sig
1,5/17/19,NPOC_mgCL,0.02,0.2204,not_sig
2,7/3/19,NPOC_mgCL,0.06,7.00E-04,sig
3,8/14/19,NPOC_mgCL,-0.11,0,sig
4,10/21/19,ph,-0.01,0,sig
1,5/17/19,ph,-0.03,0,sig
2,7/3/19,ph,-0.03,0,sig
3,8/14/19,ph,-0.01,0.0077,sig
4,10/21/19,PN,0,0.8747,not_sig
1,5/17/19,PN,0,0.0145,sig
2,7/3/19,PN,0,0.2533,not_sig
3,8/14/19,PN,0,0.0379,sig
4,10/21/19,PO4_mgPL,0,0.3906,not_sig
1,5/17/19,PO4_mgPL,0,0,sig
2,7/3/19,PO4_mgPL,0,0.3041,not_sig
3,8/14/19,PO4_mgPL,0,0.7238,not_sig
4,10/21/19,PP,0,0.7586,not_sig
1,5/17/19,PP,0,0.4171,not_sig
2,7/3/19,PP,0,0.1105,not_sig
3,8/14/19,PP,0,0.0041,sig
4,10/21/19,spc_uscm,-0.07,1.00E-04,sig
1,5/17/19,spc_uscm,-0.57,0,sig
2,7/3/19,spc_uscm,-0.01,0.8141,not_sig
3,8/14/19,spc_uscm,4.45,0,sig
4,10/21/19,TDN_mgNL,0,0.2456,not_sig
1,5/17/19,TDN_mgNL,-0.01,0,sig
2,7/3/19,TDN_mgNL,-0.01,0.008,sig
3,8/14/19,TDN_mgNL,-0.01,0.0053,sig
4,10/21/19,TDP_mgPL,0,0.7768,not_sig
1,5/17/19,TDP_mgPL,0,0.8319,not_sig
2,7/3/19,TDP_mgPL,0,0.0243,sig
3,8/14/19,TDP_mgPL,0,0.1839,not_sig
4,10/21/19,temp_c,0.05,0,sig
1,5/17/19,temp_c,0.23,0,sig
2,7/3/19,temp_c,0.27,0,sig
3,8/14/19,temp_c,0.35,0,sig
4,10/21/19,TN_mgNL,0,0.1561,not_sig
1,5/17/19,TN_mgNL,-0.01,0,sig
2,7/3/19,TN_mgNL,0,0.0429,sig
3,8/14/19,TN_mgNL,0,0.681,not_sig
4,10/21/19,TP_mgPL,0,0.2448,not_sig
1,5/17/19,TP_mgPL,0,0.2658,not_sig
2,7/3/19,TP_mgPL,0,0.007,sig
3,8/14/19,TP_mgPL,0,0.0145,sig
4,10/21/19,tss_mgL,0.17,0.0095,sig
1,5/17/19,tss_mgL,-0.01,0.8825,not_sig
2,7/3/19,tss_mgL,0.17,0.0019,sig
3,8/14/19,tss_mgL,0.09,0.2455,not_sig
