Date,reach,var,change1KM,p.value,adj.r.squared
5/17/19,upper,do_mgl,-0.05,0,0.79
5/17/19,lower,do_mgl,-0.26,0.0026,0.27
7/3/19,upper,do_mgl,0.01,0.0311,0.04
7/3/19,lower,do_mgl,-0.01,0.7226,-0.03
8/14/19,upper,do_mgl,-0.04,0.002,0.08
8/14/19,lower,do_mgl,-0.09,0.0538,0.11
10/21/19,upper,do_mgl,-0.08,0,0.88
10/21/19,lower,do_mgl,-0.03,0,0.57
5/17/19,upper,do_per,-0.12,0,0.29
5/17/19,lower,do_per,-1.52,0.0028,0.27
7/3/19,upper,do_per,0.75,0,0.43
7/3/19,lower,do_per,0.37,0.3886,-0.01
8/14/19,upper,do_per,-0.04,0.8185,-0.01
8/14/19,lower,do_per,-1.16,0.1536,0.04
10/21/19,upper,do_per,-0.45,0,0.87
10/21/19,lower,do_per,-0.15,0.1305,0.05
5/17/19,upper,DON,0,3.00E-04,0.41
5/17/19,lower,DON,0.02,0.2082,0.12
7/3/19,upper,DON,0,0.2067,0.03
7/3/19,lower,DON,0.04,0.0743,0.34
8/14/19,upper,DON,-0.02,1.00E-04,0.55
8/14/19,lower,DON,0,0.7973,-0.18
10/21/19,upper,DON,0,0.0572,0.13
10/21/19,lower,DON,0.01,0.042,0.52
5/17/19,upper,DOP,0,0.3218,0
5/17/19,lower,DOP,0,0.676,-0.13
7/3/19,upper,DOP,0,0.2976,0.01
7/3/19,lower,DOP,0,0.0378,0.46
8/14/19,upper,DOP,0,0.4269,-0.02
8/14/19,lower,DOP,0,0.0675,0.42
10/21/19,upper,DOP,0,0.9006,-0.05
10/21/19,lower,DOP,0,0.7734,-0.18
5/17/19,upper,NH4_mgNL,0,0.0017,0.32
5/17/19,lower,NH4_mgNL,0,0.518,-0.08
7/3/19,upper,NH4_mgNL,0,0,0.64
7/3/19,lower,NH4_mgNL,0,0.771,-0.15
8/14/19,upper,NH4_mgNL,0,0.4966,-0.03
8/14/19,lower,NH4_mgNL,0,0.0139,0.68
10/21/19,upper,NH4_mgNL,0,0.037,0.17
10/21/19,lower,NH4_mgNL,0,0.3497,0.01
5/17/19,upper,NH4_UM,-0.08,0.0017,0.32
5/17/19,lower,NH4_UM,-0.23,0.518,-0.08
7/3/19,upper,NH4_UM,-0.21,0,0.64
7/3/19,lower,NH4_UM,0.09,0.771,-0.15
8/14/19,upper,NH4_UM,0.02,0.4891,-0.03
8/14/19,lower,NH4_UM,0.24,0.0177,0.65
10/21/19,upper,NH4_UM,0.05,0.0365,0.17
10/21/19,lower,NH4_UM,-0.05,0.5625,-0.11
5/17/19,upper,NO3_mgNL,0,0.0113,0.21
5/17/19,lower,NO3_mgNL,-0.04,0.0119,0.63
7/3/19,upper,NO3_mgNL,-0.01,2.00E-04,0.45
7/3/19,lower,NO3_mgNL,-0.08,0.068,0.36
8/14/19,upper,NO3_mgNL,0,0.0109,0.27
