"r_timestamp","parameter","predicted_param","timestamp_chem","timestamp_spec","month","transect","dist_from_prev_m","dist_cum_m","lat","lon","temp_c","do_per","do_mgl","spc_uscm","tds_mgl","ph","chla_ugl","fdom_qsu","turb_NTU_scan","NO3_mgNL","NH4_mgNL","PO4_mgPL","TDN_mgNL","TDP_mgPL","TN_mgNL","TP_mgPL","tss_mgL","DOC_mgL"
2019-05-17 09:23:46,"DOC_mgL",4.02688557196853,"2019-05-17 09:24:00","2019-05-17 09:23:46",5,"Main",0,0,44.94539913,-73.14809372,10.82,100.4,11.11,90.5,59,7.46,-2.54,49.75,5.029,0.350363594,0.054233942,0.00584766,0.575474231,0.01188096,0.583976844,0.01831648,3.7,3.601
2019-05-17 09:24:46,"DOC_mgL",3.97845125344315,"2019-05-17 09:25:00","2019-05-17 09:24:46",5,"Main",64.00190887,64.00190887,44.94565506,-73.1488202,10.839,100.4,11.11,90.7,59,7.45,-2.61,49.63,5.044,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17 09:25:46,"DOC_mgL",3.98252457056097,"2019-05-17 09:26:00","2019-05-17 09:25:46",5,"Main",64.76704563,128.7689545,44.9459602,-73.14951938,10.85,100.3,11.1,90.8,59,7.45,-2.52,49.6,5.005,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17 09:26:46,"DOC_mgL",3.95776460462954,"2019-05-17 09:27:00","2019-05-17 09:26:46",5,"Main",64.80877564,193.5777301,44.94626896,-73.15021603,10.851,100.4,11.11,90.6,59,7.45,-2.57,49.61,5.041,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17 09:27:46,"DOC_mgL",3.93250511735769,"2019-05-17 09:28:00","2019-05-17 09:27:46",5,"Main",65.00413196,258.5818621,44.94658259,-73.1509113,10.854,100.4,11.11,90.5,59,7.44,-2.61,49.55,4.927,0.352184465,0.055690639,0.0058786,0.587240615,0.01197378,0.576048542,0.0143871,3.02,3.457
2019-05-17 09:28:46,"DOC_mgL",3.98314614552515,"2019-05-17 09:29:00","2019-05-17 09:28:46",5,"Main",64.64445748,323.2263196,44.94689584,-73.15160149,10.863,100.4,11.1,90.5,59,7.44,-2.49,49.47,5.118,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17 09:29:46,"DOC_mgL",3.96997487746542,"2019-05-17 09:30:00","2019-05-17 09:29:46",5,"Main",65.83592926,389.0622488,44.94720616,-73.15231211,10.854,100.3,11.1,90.4,59,7.44,-2.51,49.51,4.871,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17 09:30:46,"DOC_mgL",3.97610276128826,"2019-05-17 09:31:00","2019-05-17 09:30:46",5,"Main",65.44014436,454.5023932,44.94756422,-73.1529704,10.854,100.4,11.11,90.3,59,7.43,-2.37,49.49,4.943,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17 09:31:46,"DOC_mgL",3.94533188728065,"2019-05-17 09:32:00","2019-05-17 09:31:46",5,"Main",65.04678169,519.5491749,44.94794541,-73.15359588,10.857,100.4,11.11,90.1,59,7.43,-2.55,49.46,5.1,0.353571128,0.051138462,0.0057239,0.581931734,0.01209754,0.587870957,0.01813084,3.9,3.463
2019-05-17 09:32:46,"DOC_mgL",3.9882782713819,"2019-05-17 09:33:00","2019-05-17 09:32:46",5,"Main",64.62601574,584.1751906,44.94832684,-73.15421402,10.863,100.5,11.11,90,59,7.42,-2.45,49.43,5.056,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-05-17 09:33:46,"DOC_mgL",3.988760751329,"2019-05-17 09:34:00","2019-05-17 09:33:46",5,"Main",64.84262964,649.0178203,44.94869495,-73.15485152,10.882,100.4,11.1,90.2,59,7.42,-2.6,49.36,4.954,NA,NA,NA,NA,NA,NA,NA,NA,NA
