timestamp_chem,timestamp_spec,month,transect,dist_from_prev_m,dist_cum_m,lat,lon,temp_c,do_per,do_mgl,spc_uscm,tds_mgl,ph,chla_ugl,fdom_qsu,turb_NTU_scan,NO3_mgNL,NH4_mgNL,PO4_mgPL,TDN_mgNL,TDP_mgPL,TN_mgNL,TP_mgPL,tss_mgL,NPOC_mgCL,comp_220,comp_222.5,comp_225,comp_227.5,comp_230,comp_232.5,comp_235,comp_237.5,comp_240,comp_242.5,comp_245,comp_247.5,comp_250,comp_252.5,comp_255,comp_257.5,comp_260,comp_262.5,comp_265,comp_267.5,comp_270,comp_272.5,comp_275,comp_277.5,comp_280,comp_282.5,comp_285,comp_287.5,comp_290,comp_292.5,comp_295,comp_297.5,comp_300,comp_302.5,comp_305,comp_307.5,comp_310,comp_312.5,comp_315,comp_317.5,comp_320,comp_322.5,comp_325,comp_327.5,comp_330,comp_332.5,comp_335,comp_337.5,comp_340,comp_342.5,comp_345,comp_347.5,comp_350,comp_352.5,comp_355,comp_357.5,comp_360,comp_362.5,comp_365,comp_367.5,comp_370,comp_372.5,comp_375,comp_377.5,comp_380,comp_382.5,comp_385,comp_387.5,comp_390,comp_392.5,comp_395,comp_397.5,comp_400,comp_402.5,comp_405,comp_407.5,comp_410,comp_412.5,comp_415,comp_417.5,comp_420,comp_422.5,comp_425,comp_427.5,comp_430,comp_432.5,comp_435,comp_437.5,comp_440,comp_442.5,comp_445,comp_447.5,comp_450,comp_452.5,comp_455,comp_457.5,comp_460,comp_462.5,comp_465,comp_467.5,comp_470,comp_472.5,comp_475,comp_477.5,comp_480,comp_482.5,comp_485,comp_487.5,comp_490,comp_492.5,comp_495,comp_497.5,comp_500,comp_502.5,comp_505,comp_507.5,comp_510,comp_512.5,comp_515,comp_517.5,comp_520,comp_522.5,comp_525,comp_527.5,comp_530,comp_532.5,comp_535,comp_537.5,comp_540,comp_542.5,comp_545,comp_547.5,comp_550,comp_552.5,comp_555,comp_557.5,comp_560,comp_562.5,comp_565,comp_567.5,comp_570,comp_572.5,comp_575,comp_577.5,comp_580,comp_582.5,comp_585,comp_587.5,comp_590,comp_592.5,comp_595,comp_597.5,comp_600,comp_602.5,comp_605,comp_607.5,comp_610,comp_612.5,comp_615,comp_617.5,comp_620,comp_622.5,comp_625,comp_627.5,comp_630,comp_632.5,comp_635,comp_637.5,comp_640,comp_642.5,comp_645,comp_647.5,comp_650,comp_652.5,comp_655,comp_657.5,comp_660,comp_662.5,comp_665,comp_667.5,comp_670,comp_672.5,comp_675,comp_677.5,comp_680,comp_682.5,comp_685,comp_687.5,comp_690,comp_692.5,comp_695,comp_697.5,comp_700,comp_702.5,comp_705,comp_707.5,comp_710,comp_712.5,comp_715,comp_717.5,comp_720,comp_722.5,comp_725,comp_727.5,comp_730,comp_732.5
2019-05-17 09:24:00,2019-05-17 09:23:46,5,Main,0,0,44.94539913,-73.14809372,10.82,100.4,11.11,90.5,59,7.46,-2.54,49.75,5.029,0.350363594,0.054233942,0.00584766,0.575474231,0.01188096,0.583976844,0.01831648,3.7,3.601,26.4241,23.4235,20.8131,18.8258,17.8228,17.1009,16.2994,15.4501,14.6481,13.9534,13.431,13.032,12.7583,12.53,12.2232,11.8387,11.4996,11.347,11.1789,10.8692,10.513,10.2023,9.9071,9.5644,9.1742,8.7996,8.4705,8.173,7.8911,7.6077,7.2929,7.0098,6.8192,6.6133,6.3749,6.1052,5.8512,5.6118,5.404,5.211,4.9865,4.7308,4.5367,4.3894,4.2107,4.0317,3.8685,3.7199,3.5711,3.422,3.2886,3.1389,3.02,2.8858,2.7194,2.5538,2.4029,2.3147,2.2573,2.1677,2.0629,1.9579,1.8836,1.8411,1.7974,1.7705,1.7424,1.6831,1.6226,1.6259,1.5811,1.459,1.2888,1.1663,1.0897,1.0129,0.889,0.8129,0.7046,0.5801,0.4875,0.3938,0.3628,0.3788,0.3325,0.3012,0.2386,0.223,0.1912,0.1432,0.1111,0.1109,0.0625,0.0151,0.0294,0.0127,-0.0052,-0.0062,-0.0243,-0.0256,-0.0119,0.0016,-0.032,-0.0187,-0.0055,-0.0705,-0.1205,-0.1547,-0.0789,-0.0663,-0.0848,-0.0414,-0.045,-0.0168,0.0573,0.0543,-0.0437,-0.0159,0.0268,-0.0235,-0.0589,-0.0165,0.0259,-0.0558,-0.1226,-0.1115,-0.1325,-0.0895,-0.0786,-0.1149,-0.0732,-0.0465,-0.021,-0.0255,-0.0151,0.0262,0.0514,0.0616,0.0407,0.0037,-0.0334,-0.0075,0.0023,0.0121,0.0527,0.0153,0.0099,0.0813,0.0597,0.0071,0.0623,0.0566,0.0027,-0.0192,0.0058,0.0298,0.0237,0.0325,0.0253,0.065,0.0427,0.0353,0.1229,0.1314,0.0608,0.0232,0.0315,0.0238,0.0481,0.1022,0.1104,0.1034,0.0645,0.0414,0.0644,0.0722,0.1121,0.1038,0.0486,0.1353,0.1269,0.0715,0.126,0.1185,0.094,0.1174,0.0938,0.1481,0.1704,0.1776,0.1698,0.0519,0.106,0.2061,0.1661,0.1581,0.0871,0.141,0.3038,0.2797,0.1455,0.0742,0.1899,0.2126,0.1722,0.1318
2019-05-17 09:25:00,2019-05-17 09:24:46,5,Main,64.00190887,64.00190887,44.94565506,-73.1488202,10.839,100.4,11.11,90.7,59,7.45,-2.61,49.63,5.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3421,23.3593,20.7036,18.7341,17.7167,17.0115,16.2125,15.3488,14.548400000000001,13.8712,13.3493,12.9528,12.6796,12.4377,12.1322,11.7491,11.4114,11.2602,11.1093,10.7699,10.398,10.0895,9.7945,9.4531,9.0651,8.7067,8.3798,8.0824,7.8016,7.5043,7.1906,6.9395,6.734,6.5451,6.3079,6.0242000000000004,5.7551,5.5327,5.325,5.1338,4.9254,4.6706,4.4624,4.3,4.1382,3.9591,3.7968,3.6651,3.5321,3.3688,3.2203,3.1025,2.9544,2.805,2.6704,2.5055,2.3394,2.2361,2.1954,2.1226,2.0185,1.9142,1.8257,1.7829,1.7559,1.7297,1.6863,1.6437,1.5839,1.5879,1.5437,1.4223,1.2687,1.1309,1.0699,0.9948,0.8715,0.795,0.6873,0.5485,0.4565,0.3633,0.349,0.3655,0.3198,0.273,0.227,0.2109,0.1797,0.1333,0.1017,0.0861,0.0542,0.0063,0.0212,0.005,-0.0114,-0.0279,-0.0455,-0.0462,-0.0321,-0.0181,-0.0352,-0.0374,-0.0238,-0.0732,-0.1378,-0.1555,-0.0793,-0.0822,-0.1002,-0.0564,-0.0596,-0.0309,0.0596,0.0411,-0.0565,-0.0123,0.0309,-0.051,-0.07,-0.0112,0.0156,-0.0657,-0.1171,-0.1055,-0.1251,-0.0828,-0.0715,-0.1073,-0.0642,-0.0532,-0.0113,-0.0315,-0.0057,0.052,0.0626,0.0731,0.0366,0.016,-0.0207,0.0055,-3e-4,-0.0062,0.0508,0.0297,0.0236,0.0804,0.0592,0.0218,0.0784,0.072,0.0034,-0.0021,0.0222,0.0315,0.0257,0.0349,0.044,0.084,0.046,0.0389,0.1268,0.1506,0.0813,0.028,0.0367,0.0452,0.0378,0.0932,0.1167,0.11,0.0713,0.0636,0.1038,0.127,0.1351,0.1281,0.0891,0.1441,0.136,0.1129,0.1517,0.1125,0.0892,0.1278,0.1045,0.1121,0.1346,0.1891,0.1815,0.095,0.1023,0.1876,0.1949,0.1861,0.1153,0.1385,0.2866,0.2777,0.1597,0.1037,0.2207,0.2276,0.1404,0.1003
2019-05-17 09:26:00,2019-05-17 09:25:46,5,Main,64.76704563,128.7689545,44.9459602,-73.14951938,10.85,100.3,11.1,90.8,59,7.45,-2.52,49.6,5.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4105,23.3795,20.7387,18.784,17.7815,17.0593,16.2583,15.3795,14.5771,13.9149,13.3921,12.9946,12.7204,12.4616,12.1562,11.7862,11.4637,11.3115,11.1438,10.8196,10.4628,10.1685,9.8578,9.4845,9.1108,8.7515,8.4239,8.1108,7.8442,7.5462,7.2319,6.9801,6.7749,6.5683,6.3313,6.062,5.8083,5.5692,5.3458,5.1531,4.945,4.7046,4.4798,4.3328,4.1544,3.9918,3.8438,3.6796,3.516,3.3672,3.2491,3.1318,2.9821,2.8323,2.6821,2.5167,2.3811,2.2772,2.2201,2.1478,2.0272,1.9384,1.8794,1.8062,1.7627,1.7351,1.7072,1.6642,1.6049,1.6075,1.5638,1.425,1.287,1.1328,1.0724,0.9958,0.8881,0.8122,0.6881,0.5489,0.4555,0.3789,0.3632,0.3793,0.3173,0.2711,0.2398,0.2243,0.1767,0.13,0.0981,0.097,0.0649,0.0176,0.0161,-4e-4,-0.0021,-0.003,-0.0209,-0.038,-0.0242,-0.0105,-0.0279,-0.0304,-0.0171,-0.0659,-0.1308,-0.1498,-0.0739,-0.0771,-0.0954,-0.0518,-0.0543,-0.0269,0.0633,0.0445,-0.0524,-0.0094,0.0185,-0.0477,-0.068,-0.0094,0.0181,-0.0484,-0.1151,-0.1198,-0.1397,-0.0816,-0.0706,-0.1227,-0.0808,-0.0541,-0.0124,-0.0168,-0.0063,0.0192,0.0456,0.0558,0.0501,0.0132,-0.0237,-0.0137,-0.0038,0.0061,0.0629,0.0106,0.0042,0.0768,0.0703,0.0328,0.0892,0.0515,-0.0172,-0.008,0.0321,0.0412,0.0192,0.0282,0.037,0.0929,0.0547,0.0324,0.119,0.1437,0.0892,0.0357,0.0281,0.0055,0.0449,0.1311,0.1234,0.0855,0.0467,0.0547,0.0938,0.1017,0.0937,0.0865,0.0944,0.1492,0.1249,0.0546,0.1092,0.0858,0.0774,0.1479,0.1233,0.1157,0.1381,0.2084,0.2157,0.1139,0.1211,0.1903,0.1814,0.2045,0.1645,0.1715,0.2725,0.2484,0.1452,0.0901,0.2219,0.2126,0.1254,0.117
2019-05-17 09:27:00,2019-05-17 09:26:46,5,Main,64.80877564,193.5777301,44.94626896,-73.15021603,10.851,100.4,11.11,90.6,59,7.45,-2.57,49.61,5.041,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3491,23.3508,20.6957,18.7117,17.7109,16.9903,16.1908,15.3286,14.5277,13.852,13.3306,12.9346,12.6618,12.4354,12.1154,11.7318,11.4105,11.2597,11.0933,10.7703,10.3998,10.1057,9.7972,9.4401,9.0515,8.6945,8.3669,8.071,7.7905,7.4926,7.1803,6.9136,6.7244,6.5199,6.2669,5.9996,5.7459,5.5238,5.3173,5.1105,4.9024,4.6639,4.4401,4.2939,4.1164,3.9377,3.7916,3.6592,3.5115,3.3485,3.2162,3.0987,2.9499,2.8168,2.6674,2.4868,2.3369,2.2498,2.1935,2.1049,2.017,1.913,1.8397,1.7821,1.7394,1.7134,1.6862,1.6429,1.6003,1.5725,1.5445,1.4223,1.2539,1.1164,1.0406,0.9807,0.8736,0.7813,0.6898,0.5352,0.4584,0.3664,0.3522,0.3529,0.3075,0.2769,0.2301,0.1992,0.1841,0.1379,0.1065,0.09,0.0594,0.0116,0.0267,-0.0054,-0.0056,-0.0229,-0.0394,-0.0409,-0.0266,-0.0125,-0.0444,-0.0305,-0.0167,-0.066,-0.1304,-0.1479,-0.0876,-0.0743,-0.0932,-0.0642,-0.0672,-0.0384,0.0523,0.0339,-0.0636,-0.0192,0.0241,-0.0417,-0.0766,-0.0175,0.0094,-0.0568,-0.107,-0.1114,-0.1308,-0.0723,-0.077,-0.1127,-0.0544,-0.0433,-0.0163,-0.0213,-0.0104,0.0634,0.0741,0.0688,0.0324,0.0119,-0.0087,0.0016,-0.0041,0.0221,0.0633,0.0263,0.0203,0.0772,0.0721,0.0349,0.0756,0.0542,8e-4,-0.0047,0.0198,0.0292,0.0385,0.0478,0.042,0.0981,0.0602,0.0372,0.1092,0.1181,0.0489,0.0267,0.0505,0.0122,0.0368,0.1073,0.1319,0.0933,0.0397,0.0481,0.0874,0.1116,0.1348,0.096,0.1041,0.1751,0.1361,0.0811,0.121,0.0968,0.0896,0.1594,0.1361,0.1438,0.1674,0.222,0.1975,0.096,0.1345,0.1889,0.1492,0.1725,0.1168,0.1561,0.2883,0.2634,0.1455,0.0746,0.1916,0.1986,0.1116,0.1185
2019-05-17 09:28:00,2019-05-17 09:27:46,5,Main,65.00413196,258.5818621,44.94658259,-73.1509113,10.854,100.4,11.11,90.5,59,7.44,-2.61,49.55,4.927,0.352184465,0.055690639,0.0058786,0.587240615,0.01197378,0.576048542,0.0143871,3.02,3.457,26.3103,23.3269,20.6876,18.6875,17.7026,16.9818,16.1823,15.3049,14.5039,13.8431,13.3216,12.9254,12.6526,12.4111,12.091,11.7222,11.4009,11.2499,11.0684,10.7444,10.3897,10.0806,9.7709,9.4148,9.0411,8.684,8.3723,8.0603,7.7797,7.4828,7.1694,6.9026,6.7133,6.5087,6.2567,6.0033,5.7505,5.5283,5.3058,5.1139,4.8907,4.6521,4.4432,4.282,4.1195,3.9416,3.7945,3.647,3.5002,3.3362,3.2189,3.1023,2.9534,2.8042,2.6238,2.4742,2.3402,2.2521,2.2116,2.124,2.0041,1.9,1.8426,1.785,1.7422,1.7152,1.688,1.6296,1.5709,1.5751,1.531,1.4088,1.2564,1.1338,1.058,0.982,0.8598,0.7835,0.676,0.5373,0.4444,0.3684,0.3382,0.3549,0.2934,0.2627,0.2159,0.2009,0.1858,0.1236,0.0922,0.0916,0.0599,0.0131,0.0281,-0.004,-0.0202,-0.0215,-0.038,-0.0546,-0.0404,-0.0113,-0.0442,-0.0303,-0.0166,-0.0649,-0.1294,-0.1479,-0.0876,-0.0744,-0.0923,-0.0633,-0.0664,-0.0376,0.053,0.0346,-0.0629,-0.0195,0.0247,-0.0261,-0.061,-0.002,0.0099,-0.0563,-0.1226,-0.111,-0.1464,-0.072,-0.0606,-0.1124,-0.0542,-0.0591,-0.016,-0.0211,-0.0102,0.0475,0.0582,0.0529,0.0484,0.0269,-0.0097,6e-4,-0.0041,0.006,0.0631,0.0262,0.0201,0.077,0.0709,0.0346,0.0903,0.053900000000000003,-0.0155,-0.006,0.0194,0.0448,0.0381,0.0313,0.0405,0.0816,0.0437,0.0527,0.1236,0.1485,0.0634,0.0251,0.0338,0.0115,0.0511,0.1066,0.1311,0.0926,0.054,0.0463,0.1016,0.1418,0.15,0.1111,0.1032,0.1582,0.1352,0.0961,0.135,0.0808,0.0886,0.1424,0.1041,0.1267,0.1343,0.2049,0.2434,0.1569,0.1493,0.1717,0.164,0.1863,0.1466,0.2008,0.302,0.2621,0.1602,0.1352,0.2523,0.2282,0.1562,0.1171
2019-05-17 09:29:00,2019-05-17 09:28:46,5,Main,64.64445748,323.2263196,44.94689584,-73.15160149,10.863,100.4,11.1,90.5,59,7.44,-2.49,49.47,5.118,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3426,23.3441,20.7037,18.7195,17.7185,16.9986,16.199,15.3366,14.5354,13.8585,13.338,12.9407,12.6838,12.4262,12.122,11.7382,11.4317,11.2657,11.1141,10.775,10.4043,10.1111,9.8013,9.4451,9.0714,8.7142,8.3865,8.0903,7.8097,7.5127,7.1992,6.9324,6.7431,6.5384,6.3013,6.0328,5.765,5.5428,5.3352,5.1282,4.905,4.6654,4.4574,4.2951,4.1335,3.9556,3.7924,3.6609,3.5131,3.365,3.2326,3.1,2.951,2.8178,2.6684,2.5187,2.3377,2.2495,2.209,2.1203,2.0014,1.8972,1.8398,1.7972,1.7554,1.7123,1.685,1.6426,1.5839,1.571,1.5439,1.4056,1.2522,1.1305,1.0547,0.9787,0.8715,0.7961,0.6885,0.5488,0.4569,0.3799,0.3497,0.3663,0.3207,0.2741,0.2282,0.2132,0.1821,0.1348,0.1033,0.0878,0.056,0.0242,0.0242,-0.0079,-0.0092,-0.0096,-0.0421,-0.0437,-0.0295,-0.0154,-0.0324,-0.0345,-0.0208,-0.0692,-0.1337,-0.1522,-0.076,-0.0628,-0.0967,-0.0677,-0.0709,-0.0271,0.0635,0.0291,-0.0515,-0.0241,0.0041,-0.0467,-0.0657,-0.0227,0.0212,-0.061,-0.1123,-0.1007,-0.1202,-0.0778,-0.0815,-0.1012,-0.0441,-0.048,-0.022,-0.0261,-2e-4,0.0425,0.0532,0.0788,0.0584,0.0218,-0.0148,-0.0045,-0.0093,0.0159,0.058,0.021,0.0149,0.0718,0.0656,0.0283,0.085,0.0636,-0.0049,-0.0114,0.014,0.0394,0.0327,0.0419,0.0201,0.0602,0.0532,0.0312,0.1181,0.127,0.0578,0.0355,0.0592,0.0219,0.0304,0.101,0.1255,0.1179,0.0642,0.0566,0.0958,0.12,0.1282,0.1363,0.1284,0.1834,0.1443,0.0903,0.1291,0.1059,0.0977,0.1364,0.1131,0.1518,0.1444,0.1829,0.1904,0.1039,0.1423,0.1816,0.142,0.1492,0.1095,0.1477,0.2799,0.256,0.138,0.0981,0.2461,0.237,0.119,0.0638
2019-05-17 09:30:00,2019-05-17 09:29:46,5,Main,65.83592926,389.0622488,44.94720616,-73.15231211,10.854,100.3,11.1,90.4,59,7.44,-2.51,49.51,4.871,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2478,23.2814,20.6271,18.6599,17.6598,16.9399,16.1412,15.2798,14.4645,13.8046,13.2999,12.9035,12.6164,12.3597,12.0563,11.6883,11.3677,11.2175,11.0367,10.7133,10.3594,10.0819,9.7729,9.4014,9.0294,8.6719,8.3299,8.0504,7.7695,7.4891,7.1603,6.8951,6.6904,6.5013,6.2499,5.998,5.7457,5.5081,5.2861,5.0798,4.8721,4.634,4.4416,4.2649,4.0878,3.9255,3.7638,3.6318,3.4855,3.3219,3.19,3.0579,2.9244,2.7917,2.6277,2.4625,2.329,2.2412,2.1852,2.0979,1.9784,1.8747,1.8178,1.7766,1.7342,1.7075,1.6657,1.6226,1.5643,1.5688,1.5252,1.4033,1.2512,1.1129,1.0385,0.9628,0.856,0.78,0.6728,0.5345,0.4419,0.3662,0.3364,0.3533,0.3071,0.2618,0.2153,0.2006,0.1858,0.1239,0.0927,0.0775,0.0611,0.0145,0.0139,-0.002,-0.0179,-0.019,-0.0352,-0.0515,-0.037,-0.0226,-0.0403,-0.0412,-0.0272,-0.0602,-0.1244,-0.1428,-0.0662,-0.0687,-0.0864,-0.0422,-0.06,-0.016,0.0599,0.0257,-0.0706,-0.027,0.0165,-0.0331,-0.0677,-0.0245,0.0186,-0.0474,-0.0975,-0.1016,-0.1209,-0.0782,-0.0826,-0.1022,-0.0438,-0.0485,-0.0212,-0.0261,-0.015,0.043,0.053900000000000003,0.0497,0.0284,0.0241,-0.0123,-0.0018,-0.0224,0.003,0.0763,0.0235,0.0337,0.0747,0.0538,0.0167,0.0736,0.0524,-9e-4,-0.0062,0.0344,0.0599,0.0374,0.0318,0.0252,0.0975,0.0747,0.0528,0.109,0.134,0.065,0.0269,0.0358,0.0126,0.0214,0.1091,0.1327,0.0943,0.0409,0.0333,0.1048,0.1282,0.1365,0.0978,0.075,0.1462,0.1383,0.0844,0.1074,0.0684,0.0613,0.1312,0.139,0.1318,0.1546,0.1623,0.1859,0.1155,0.1231,0.1926,0.1691,0.1925,0.1529,0.2222,0.2926,0.2528,0.166,0.1262,0.2434,0.2345,0.1635,0.0925
2019-05-17 09:31:00,2019-05-17 09:30:46,5,Main,65.44014436,454.5023932,44.94756422,-73.1529704,10.854,100.4,11.11,90.3,59,7.43,-2.37,49.49,4.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2754,23.2778,20.6232,18.6558,17.6556,16.9355,16.1366,15.2599,14.4595,13.7834,13.2785,12.883,12.6107,12.3698,12.0503,11.6821,11.3613,11.211,11.03,10.7225,10.3674,10.0598,9.7506,9.379,9.0218,8.6641,8.338,8.0264,7.7464,7.4649,7.1519,6.8866,6.6818,6.4776,6.241,5.989,5.7366,5.4989,5.2928,5.0853,4.8785,4.6243,4.4158,4.27,4.0928,3.9153,3.7685,3.6214,3.475,3.3114,3.1944,3.0621,2.9136,2.7808,2.6317,2.4673,2.3177,2.2299,2.1738,2.1025,1.9829,1.8951,1.822,1.7647,1.7222,1.6955,1.6686,1.6264,1.5521,1.5565,1.5288,1.4068,1.2386,1.1003,1.0408,0.965,0.8581,0.7831,0.6758,0.5364,0.4448,0.368,0.3541,0.355,0.3097,0.2633,0.2177,0.203,0.1721,0.1251,0.0939,0.0946,0.0631,0.0155,0.0158,-1e-4,-0.0171,-0.0173,-0.0495,-0.0509,-0.0365,-0.0221,-0.0389,-0.0408,-0.0268,-0.075,-0.1392,-0.1576,-0.0811,-0.0677,-0.1014,-0.0572,-0.0592,-0.0312,0.0447,0.0264,-0.0709,-0.0114,0.0171,-0.0485,-0.0683,-0.0241,0.0189,-0.0471,-0.0982,-0.1014,-0.1367,-0.0781,-0.0666,-0.1021,-0.0598,-0.0485,-0.0063,-0.0102,-0.0152,0.0427,0.0536,0.0644,0.0441,0.0227,-0.0138,-0.0033,0.0071,0.0174,0.0747,0.0379,0.017,0.074,0.068,0.0159,0.0567,0.0515,-0.0018,-0.0082,0.0334,0.0429,0.0363,0.0457,0.055,0.0952,0.0574,0.0516,0.1226,0.1166,0.0626,0.0245,0.0493,0.0271,0.0358,0.0915,0.1311,0.1087,0.0542,0.0626,0.102,0.1424,0.1187,0.0799,0.0881,0.1752,0.1513,0.0974,0.1204,0.1133,0.0902,0.1441,0.1059,0.1286,0.1674,0.175,0.1677,0.0972,0.1358,0.2053,0.1817,0.1741,0.1025,0.1418,0.2741,0.2493,0.1475,0.0926,0.1778,0.1998,0.1599,0.1049
2019-05-17 09:32:00,2019-05-17 09:31:46,5,Main,65.04678169,519.5491749,44.94794541,-73.15359588,10.857,100.4,11.11,90.1,59,7.43,-2.55,49.46,5.1,0.353571128,0.051138462,0.0057239,0.581931734,0.01209754,0.587870957,0.01813084,3.9,3.463,26.2566,23.2589,20.6043,18.6359,17.6356,16.9164,16.1175,15.2558,14.4554,13.7952,13.2743,12.8787,12.6064,12.3655,12.0609,11.6787,11.3569,11.2074,11.0414,10.7029,10.3318,10.0391,9.7299,9.3892,9.0021,8.6444,8.3182,8.0066,7.7255,7.445,7.132,6.8656,6.6618,6.4726,6.2359,5.9689,5.7315,5.4938,5.2716,5.0811,4.8733,4.6191,4.4116,4.2497,4.0885,3.91,3.7642,3.6171,3.4537,3.3219,3.1899,3.0567,2.9241,2.7753,2.6112,2.4618,2.3122,2.2093,2.1692,2.0968,1.9932,1.8734,1.8163,1.759,1.7165,1.7058,1.6788,1.6207,1.5623,1.5507,1.5229,1.401,1.2478,1.0954,1.0349,0.9751,0.8532,0.7771,0.6698,0.5314,0.4388,0.363,0.348,0.3499,0.3037,0.2582,0.2276,0.1969,0.166,0.12,0.0888,0.0884,0.0569,0.0103,0.0096,-0.0063,-0.0073,-0.0235,-0.0398,-0.0412,-0.0428,-0.0124,-0.0452,-0.0311,-0.0172,-0.0653,-0.1296,-0.148,-0.0875,-0.0741,-0.10780000000000001,-0.0626,-0.0496,-0.0216,0.0542,0.02,-0.0774,-0.0178,0.0106,-0.04,-0.0738,-0.0156,0.0124,-0.0536,-0.1198,-0.108,-0.1273,-0.0697,-0.0732,-0.1087,-0.0664,-0.0551,-0.013,-0.0169,-0.0059,0.0361,0.0469,0.0577,0.0374,0.017,-0.0195,-0.009,0.0014,0.0117,0.0529,0.0161,0.0262,0.0832,0.0622,0.0251,0.0819,0.0596,0.0073,0.017,0.0425,0.052,0.0454,0.0388,0.0481,0.0894,0.0665,0.0447,0.1167,0.1407,0.0877,0.0336,0.0424,0.0202,0.0449,0.0995,0.1081,0.1017,0.0472,0.0406,0.111,0.1044,0.1127,0.1049,0.1131,0.1522,0.1133,0.0593,0.1143,0.0903,0.0982,0.122,0.0988,0.1376,0.1453,0.1999,0.2385,0.1371,0.0976,0.1991,0.2066,0.182,0.1273,0.1656,0.2829,0.2901,0.1723,0.0855,0.2016,0.1936,0.1537,0.1136
2019-05-17 09:33:00,2019-05-17 09:32:46,5,Main,64.62601574,584.1751906,44.94832684,-73.15421402,10.863,100.5,11.11,90,59,7.42,-2.45,49.43,5.056,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2767,23.3093,20.654,18.6699,17.684,16.9642,16.1647,15.3024,14.4853,13.8245,13.319,12.9228,12.65,12.3935,12.0884,11.7046,11.3983,11.2483,11.0658,10.7428,10.3711,10.078,9.7843,9.4122,9.0235,8.6654,8.3548,8.0427,7.7611,7.4642,7.1508,6.885,6.6957,6.4901,6.2541,5.9857,5.7329,5.5257,5.3032,5.0803,4.8731,4.6495,4.4256,4.2634,4.0859,3.924,3.7769,3.6454,3.4976,3.3336,3.2013,3.0687,2.9358,2.7866,2.6212,2.4716,2.3216,2.2345,2.178,2.0904,1.9865,1.8974,1.824,1.7664,1.7396,1.7136,1.6864,1.643,1.5683,1.5565,1.5284,1.4222,1.2538,1.1162,1.0404,0.9804,0.8572,0.7969,0.6894,0.5507,0.4578,0.3818,0.3666,0.3683,0.3218,0.2761,0.2293,0.2143,0.1992,0.137,0.1056,0.089,0.0733,0.0105,0.0255,-0.0066,-0.0068,-0.0081,-0.0246,-0.0423,-0.028,-0.0139,-0.0308,-0.0319,-0.0182,-0.0675,-0.116,-0.1495,-0.0742,-0.061,-0.0949,-0.0499,-0.053,-0.0092,0.0504,0.016,-0.0805,-0.0211,0.0221,-0.0287,-0.0626,-0.0196,0.0073,-0.0589,-0.1092,-0.0976,-0.133,-0.0746,-0.0632,-0.099,-0.0568,-0.0457,-0.0186,-0.0237,0.0032,0.0289,0.0246,0.0503,0.0298,0.0093,-0.0113,-0.017,0.0093,0.0194,0.0765,0.0236,0.0025,0.0594,0.0533,0.032,0.0887,0.0513,-0.0021,-0.0076,0.0328,0.0422,0.0355,0.0447,0.053900000000000003,0.095,0.0571,0.0341,0.106,0.1309,0.0607,0.0235,0.0322,0.0089,0.0335,0.104,0.1285,0.106,0.0203,0.0127,0.084,0.1082,0.0844,0.0775,0.0696,0.1406,0.1326,0.0935,0.1174,0.0782,0.055,0.1408,0.1165,0.1091,0.1167,0.1713,0.2258,0.1233,0.0997,0.1851,0.1614,0.1687,0.129,0.1672,0.2684,0.2125,0.1106,0.1016,0.2186,0.1946,0.1076,0.0985
