Date/Time,Status,Turbid. [NTUeq]466.67-0.00_1,[Turbid._0.0_1.0_0.0_0.0],NO3-Neq [mg/l]23.33-0.00_1,[NO3-Neq_0.0_1.0_0.0_0.0],TOCeq [mg/l]58.33-0.00_1,[TOCeq_0.0_1.0_0.0_0.0],DOCeq [mg/l]30.00-0.00_1,[DOCeq_0.0_1.0_0.0_0.0],SAC254T [Abs/m]NaN-NaN_1,[SAC254T_0.0_1.0_0.0_0.0],SAC436T [Abs/m]NaN-NaN_1,[SAC436T_0.0_1.0_0.0_0.0],Temp. [°C]NaN-NaN_1,[Temp._0.0_1.0_0.0_0.0],analogIN []NaN-NaN_1,[analogIN_0.0_1.0_0.0_0.0]
2019.08.14  09:49:19,Ok,3.396,0,0.029,0,5.435,0,4.294,0,13.117,0,1.632,0,NaN,-14,NaN,NaN
2019.08.14  09:50:19,Ok,3.042,0,0.038,0,5.395,0,4.294,0,13.016,0,1.539,0,NaN,-14,NaN,NaN
2019.08.14  09:51:19,Ok,3.247,0,0.036,0,5.42,0,4.298,0,13.07,0,1.593,0,NaN,-14,NaN,NaN
2019.08.14  09:52:19,Ok,3.075,0,0.048,0,5.406,0,4.286,0,13.039,0,1.555,0,NaN,-14,NaN,NaN
2019.08.14  09:53:19,Ok,2.998,0,0.048,0,5.411,0,4.302,0,13.055,0,1.546,0,NaN,-14,NaN,NaN
2019.08.14  09:54:19,Ok,3.001,0,0.043,0,5.425,0,4.296,0,13.086,0,1.57,0,NaN,-14,NaN,NaN
2019.08.14  09:55:19,Ok,3.125,0,0.054,0,5.444,0,4.281,0,13.125,0,1.602,0,NaN,-14,NaN,NaN
2019.08.14  09:56:19,Ok,3.233,0,0.046,0,5.448,0,4.268,0,13.133,0,1.625,0,NaN,-14,NaN,NaN
2019.08.14  09:57:19,Ok,2.936,0,0.041,0,5.405,0,4.241,0,13.024,0,1.57,0,NaN,-14,NaN,NaN
2019.08.14  09:58:19,Ok,3.114,0,0.052,0,5.416,0,4.224,0,13.055,0,1.602,0,NaN,-14,NaN,NaN
2019.08.14  09:59:19,Ok,2.966,0,0.045,0,5.398,0,4.235,0,13.008,0,1.57,0,NaN,-14,NaN,NaN
2019.08.14  10:00:19,Ok,3.251,0,0.043,0,5.462,0,4.228,0,13.164,0,1.664,0,NaN,-14,NaN,NaN
2019.08.14  10:01:19,Ok,3.063,0,0.05,0,5.428,0,4.245,0,13.086,0,1.602,0,NaN,-14,NaN,NaN
2019.08.14  10:02:19,Ok,3.357,0,0.041,0,5.52,0,4.232,0,13.305,0,1.718,0,NaN,-14,NaN,NaN
2019.08.14  10:03:19,Ok,3.221,0,0.036,0,5.469,0,4.227,0,13.18,0,1.657,0,NaN,-14,NaN,NaN
2019.08.14  10:04:19,Ok,3.369,0,0.055,0,5.507,0,4.218,0,13.274,0,1.718,0,NaN,-14,NaN,NaN
2019.08.14  10:05:19,Ok,3.423,0,0.048,0,5.512,0,4.205,0,13.281,0,1.742,0,NaN,-14,NaN,NaN
2019.08.14  10:06:19,Ok,3.541,0,0.05,0,5.514,0,4.206,0,13.289,0,1.757,0,NaN,-14,NaN,NaN
2019.08.14  10:07:19,Ok,3.672,0,0.029,0,5.547,0,4.216,0,13.359,0,1.796,0,NaN,-14,NaN,NaN
2019.08.14  10:08:19,Ok,3.945,0,0.049,0,5.6,0,4.222,0,13.492,0,1.891,0,NaN,-14,NaN,NaN
2019.08.14  10:09:19,Ok,3.577,0,0.035,0,5.586,0,4.218,0,13.461,0,1.812,0,NaN,-14,NaN,NaN
2019.08.14  10:10:19,Ok,3.488,0,0.047,0,5.541,0,4.194,0,13.351,0,1.789,0,NaN,-14,NaN,NaN
2019.08.14  10:11:19,Ok,3.357,0,0.04,0,5.511,0,4.194,0,13.274,0,1.734,0,NaN,-14,NaN,NaN
2019.08.14  10:12:19,Ok,3.485,0,0.051,0,5.528,0,4.189,0,13.32,0,1.773,0,NaN,-14,NaN,NaN
2019.08.14  10:13:19,Ok,3.441,0,0.044,0,5.501,0,4.175,0,13.25,0,1.75,0,NaN,-14,NaN,NaN
2019.08.14  10:14:19,Ok,3.55,0,0.052,0,5.52,0,4.17,0,13.297,0,1.796,0,NaN,-14,NaN,NaN
2019.08.14  10:15:19,Ok,3.414,0,0.05,0,5.508,0,4.156,0,13.274,0,1.766,0,NaN,-14,NaN,NaN
2019.08.14  10:16:19,Ok,3.316,0,0.044,0,5.497,0,4.163,0,13.234,0,1.734,0,NaN,-14,NaN,NaN
2019.08.14  10:17:19,Ok,3.402,0,0.059,0,5.51,0,4.171,0,13.281,0,1.766,0,NaN,-14,NaN,NaN
2019.08.14  10:18:19,Ok,3.31,0,0.036,0,5.524,0,4.168,0,13.305,0,1.766,0,NaN,-14,NaN,NaN
2019.08.14  10:19:19,Ok,3.304,0,0.045,0,5.501,0,4.148,0,13.25,0,1.743,0,NaN,-14,NaN,NaN
