Date/Time,Status,Turbid. [NTUeq]466.67-0.00_1,[Turbid._0.0_1.0_0.0_0.0],NO3-Neq [mg/l]23.33-0.00_1,[NO3-Neq_0.0_1.0_0.0_0.0],TOCeq [mg/l]58.33-0.00_1,[TOCeq_0.0_1.0_0.0_0.0],DOCeq [mg/l]30.00-0.00_1,[DOCeq_0.0_1.0_0.0_0.0],SAC254T [Abs/m]NaN-NaN_1,[SAC254T_0.0_1.0_0.0_0.0],SAC436T [Abs/m]NaN-NaN_1,[SAC436T_0.0_1.0_0.0_0.0],Temp. [°C]NaN-NaN_1,[Temp._0.0_1.0_0.0_0.0],analogIN []NaN-NaN_1,[analogIN_0.0_1.0_0.0_0.0]
2018.10.16  10:19:29,Ok,2.764,0,0,1,4.534,0,3.231,0,10.91,0,1.638,0,NaN,-14,NaN,NaN
2018.10.16  11:19:29,Ok,3.367,0,0,1,5.469,0,3.699,0,13.145,0,2.135,0,NaN,-14,NaN,NaN
2018.10.16  12:19:29,Ok,2.786,0,0,1,4.157,0,2.754,0,9.99,0,1.727,0,NaN,-14,NaN,NaN
2018.10.16  13:19:29,Ok,2.882,0,0,1,4.501,0,3.011,0,10.816,0,1.819,0,NaN,-14,NaN,NaN
2018.10.16  14:19:29,Ok,2.871,0,0,1,4.573,0,3.037,0,10.989,0,1.852,0,NaN,-14,NaN,NaN
2018.10.16  15:19:29,Ok,9.723,0,0,1,3.986,0,1.735,0,9.55,0,3.58,0,NaN,-14,NaN,NaN
2018.10.16  16:19:29,Ok,2.764,0,0,1,4.58,0,3.275,0,11.02,0,1.632,0,NaN,-14,NaN,NaN
2018.10.16  17:19:29,Ok,3.263,0,0,1,5.259,0,3.527,0,12.639,0,2.076,0,NaN,-14,NaN,NaN
2018.10.16  18:19:29,Ok,2.806,0,0,1,4.168,0,2.765,0,10.014,0,1.723,0,NaN,-14,NaN,NaN
2018.10.16  19:19:29,Ok,2.844,0,0,1,4.391,0,2.931,0,10.547,0,1.776,0,NaN,-14,NaN,NaN
2018.10.16  20:19:29,Ok,2.883,0,0,1,4.402,0,2.934,0,10.578,0,1.793,0,NaN,-14,NaN,NaN
2018.10.16  21:19:29,Ok,10.094,0,0,1,4.077,0,1.754,0,9.766,0,3.7,0,NaN,-14,NaN,NaN
2018.10.16  22:19:29,Ok,2.776,0,0,1,4.608,0,3.293,0,11.086,0,1.645,0,NaN,-14,NaN,NaN
2018.10.16  23:19:29,Ok,3.318,0,0,1,5.204,0,3.507,0,12.502,0,2.061,0,NaN,-14,NaN,NaN
2018.10.17  00:19:29,Ok,2.869,0,0,1,4.198,0,2.769,0,10.084,0,1.748,0,NaN,-14,NaN,NaN
2018.10.17  01:19:29,Ok,3.002,0,0,1,4.445,0,2.947,0,10.677,0,1.842,0,NaN,-14,NaN,NaN
2018.10.17  02:19:29,Ok,2.974,0,0,1,4.419,0,2.937,0,10.615,0,1.826,0,NaN,-14,NaN,NaN
2018.10.17  03:19:29,Ok,9.967,0,0,1,4.113,0,1.805,0,9.851,0,3.661,0,NaN,-14,NaN,NaN
2018.10.17  04:19:29,Ok,2.851,0,0,1,4.704,0,3.36,0,11.32,0,1.684,0,NaN,-14,NaN,NaN
2018.10.17  05:19:29,Ok,3.198,0,0,1,5.17,0,3.499,0,12.424,0,2.008,0,NaN,-14,NaN,NaN
2018.10.17  06:19:29,Ok,2.9,0,0,1,4.2,0,2.783,0,10.086,0,1.754,0,NaN,-14,NaN,NaN
2018.10.17  07:19:29,Ok,3.004,0,0,1,4.47,0,2.963,0,10.738,0,1.845,0,NaN,-14,NaN,NaN
2018.10.17  08:19:29,Ok,2.982,0,0,1,4.458,0,2.949,0,10.712,0,1.845,0,NaN,-14,NaN,NaN
2018.10.17  09:19:29,Ok,10.176,0,0,1,4.21,0,1.859,0,10.086,0,3.737,0,NaN,-14,NaN,NaN
2018.10.17  10:19:29,Ok,2.785,0,0,1,4.738,0,3.374,0,11.395,0,1.679,0,NaN,-14,NaN,NaN
2018.10.17  11:19:29,Ok,3.171,0,0,1,5.2,0,3.531,0,12.496,0,2,0,NaN,-14,NaN,NaN
2018.10.17  12:19:29,Ok,2.834,0,0,1,4.21,0,2.782,0,10.113,0,1.743,0,NaN,-14,NaN,NaN
2018.10.17  13:19:29,Ok,2.954,0,0,1,4.58,0,3.061,0,11.003,0,1.854,0,NaN,-14,NaN,NaN
2018.10.17  14:19:29,Ok,2.854,0,0,1,4.491,0,2.985,0,10.791,0,1.812,0,NaN,-14,NaN,NaN
2018.10.17  15:19:29,Ok,10.13,0,0,1,4.231,0,1.867,0,10.137,0,3.73,0,NaN,-14,NaN,NaN
2018.10.17  16:19:29,Ok,2.684,0,0,1,4.721,0,3.381,0,11.357,0,1.648,0,NaN,-14,NaN,NaN
2018.10.17  17:19:29,Ok,3.14,0,0,1,5.297,0,3.635,0,12.73,0,2.004,0,NaN,-14,NaN,NaN
2018.10.17  18:19:29,Ok,2.802,0,0,1,4.321,0,2.858,0,10.378,0,1.776,0,NaN,-14,NaN,NaN
2018.10.17  19:19:29,Ok,2.972,0,0,1,4.799,0,3.189,0,11.528,0,1.934,0,NaN,-14,NaN,NaN
2018.10.17  20:19:29,Ok,2.936,0,0,1,4.726,0,3.142,0,11.354,0,1.898,0,NaN,-14,NaN,NaN
2018.10.17  21:19:29,Ok,10.133,0,0,1,4.251,0,1.907,0,10.185,0,3.733,0,NaN,-14,NaN,NaN
