"","hobo_stage","hobo_stage_int","stage","r_timestamp","power_q","radius","area","int_or_ext","mannings_q","best_q"
"1",0.492,0.5533764,0.7750924,2019-04-02 11:00:00,2.54593185436913,8.6001848,5.46440142,"extrapolated",2.64425541524343,2.50054601321007
"2",0.485,0.5463995,0.7681155,2019-04-02 11:10:00,2.25938003206059,8.586231,5.415214275,"interpolated",2.61761824737904,2.25938003206059
"3",0.485,0.5463995,0.7681155,2019-04-02 11:20:00,2.25938003206059,8.586231,5.415214275,"interpolated",2.61761824737904,2.25938003206059
"4",0.48,0.541416,0.763132,2019-04-02 11:30:00,2.07328507758858,8.576264,5.3800806,"interpolated",2.59862229857559,2.07328507758858
"5",0.474,0.5354358,0.7571518,2019-04-02 11:40:00,1.86869996512829,8.5643036,5.33792019,"interpolated",2.57586084191402,1.86869996512829
"6",0.474,0.5354358,0.7571518,2019-04-02 11:50:00,1.86869996512829,8.5643036,5.33792019,"interpolated",2.57586084191402,1.86869996512829
"7",0.475,0.5364325,0.7581485,2019-04-02 12:00:00,1.90144679786007,8.566297,5.344946925,"interpolated",2.57965186542634,1.90144679786007
"8",0.473,0.5344391,0.7561551,2019-04-02 12:10:00,1.83647507517158,8.5623102,5.330893455,"interpolated",2.57207083970401,1.83647507517158
"9",0.476,0.5374292,0.7591452,2019-04-02 12:20:00,1.93472332431987,8.5682904,5.35197366,"interpolated",2.58344391012816,1.93472332431987
"10",0.471,0.5324457,0.7541617,2019-04-02 12:30:00,1.77356063568739,8.5583234,5.316839985,"interpolated",2.56449389964245,1.77356063568739
"11",0.471,0.5324457,0.7541617,2019-04-02 12:40:00,1.77356063568739,8.5583234,5.316839985,"interpolated",2.56449389964245,1.77356063568739
"12",0.473,0.5344391,0.7561551,2019-04-02 12:50:00,1.83647507517158,8.5623102,5.330893455,"interpolated",2.57207083970401,1.83647507517158
"13",0.474,0.5354358,0.7571518,2019-04-02 13:00:00,1.86869996512829,8.5643036,5.33792019,"interpolated",2.57586084191402,1.86869996512829
"14",0.472,0.5334424,0.7551584,2019-04-02 13:10:00,1.80476448046949,8.5603168,5.32386672,"interpolated",2.56828185890919,1.80476448046949
"15",0.474,0.5354358,0.7571518,2019-04-02 13:20:00,1.86869996512829,8.5643036,5.33792019,"interpolated",2.57586084191402,1.86869996512829
"16",0.472,0.5334424,0.7551584,2019-04-02 13:30:00,1.80476448046949,8.5603168,5.32386672,"interpolated",2.56828185890919,1.80476448046949
"17",0.475,0.5364325,0.7581485,2019-04-02 13:40:00,1.90144679786007,8.566297,5.344946925,"interpolated",2.57965186542634,1.90144679786007
"18",0.476,0.5374292,0.7591452,2019-04-02 13:50:00,1.93472332431987,8.5682904,5.35197366,"interpolated",2.58344391012816,1.93472332431987
"19",0.475,0.5364325,0.7581485,2019-04-02 14:00:00,1.90144679786007,8.566297,5.344946925,"interpolated",2.57965186542634,1.90144679786007
"20",0.474,0.5354358,0.7571518,2019-04-02 14:10:00,1.86869996512829,8.5643036,5.33792019,"interpolated",2.57586084191402,1.86869996512829
"21",0.472,0.5334424,0.7551584,2019-04-02 14:20:00,1.80476448046949,8.5603168,5.32386672,"interpolated",2.56828185890919,1.80476448046949
"22",0.474,0.5354358,0.7571518,2019-04-02 14:30:00,1.86869996512829,8.5643036,5.33792019,"interpolated",2.57586084191402,1.86869996512829
"23",0.475,0.5364325,0.7581485,2019-04-02 14:40:00,1.90144679786007,8.566297,5.344946925,"interpolated",2.57965186542634,1.90144679786007
"24",0.473,0.5344391,0.7561551,2019-04-02 14:50:00,1.83647507517158,8.5623102,5.330893455,"interpolated",2.57207083970401,1.83647507517158
"25",0.473,0.5344391,0.7561551,2019-04-02 15:00:00,1.83647507517158,8.5623102,5.330893455,"interpolated",2.57207083970401,1.83647507517158
"26",0.476,0.5374292,0.7591452,2019-04-02 15:10:00,1.93472332431987,8.5682904,5.35197366,"interpolated",2.58344391012816,1.93472332431987
"27",0.475,0.5364325,0.7581485,2019-04-02 15:20:00,1.90144679786007,8.566297,5.344946925,"interpolated",2.57965186542634,1.90144679786007
"28",0.473,0.5344391,0.7561551,2019-04-02 15:30:00,1.83647507517158,8.5623102,5.330893455,"interpolated",2.57207083970401,1.83647507517158
"29",0.473,0.5344391,0.7561551,2019-04-02 15:40:00,1.83647507517158,8.5623102,5.330893455,"interpolated",2.57207083970401,1.83647507517158
"30",0.475,0.5364325,0.7581485,2019-04-02 15:50:00,1.90144679786007,8.566297,5.344946925,"interpolated",2.57965186542634,1.90144679786007
"31",0.474,0.5354358,0.7571518,2019-04-02 16:00:00,1.86869996512829,8.5643036,5.33792019,"interpolated",2.57586084191402,1.86869996512829
"32",0.474,0.5354358,0.7571518,2019-04-02 16:10:00,1.86869996512829,8.5643036,5.33792019,"interpolated",2.57586084191402,1.86869996512829
"33",0.473,0.5344391,0.7561551,2019-04-02 16:20:00,1.83647507517158,8.5623102,5.330893455,"interpolated",2.57207083970401,1.83647507517158
"34",0.474,0.5354358,0.7571518,2019-04-02 16:30:00,1.86869996512829,8.5643036,5.33792019,"interpolated",2.57586084191402,1.86869996512829
"35",0.475,0.5364325,0.7581485,2019-04-02 16:40:00,1.90144679786007,8.566297,5.344946925,"interpolated",2.57965186542634,1.90144679786007
"36",0.475,0.5364325,0.7581485,2019-04-02 16:50:00,1.90144679786007,8.566297,5.344946925,"interpolated",2.57965186542634,1.90144679786007
"37",0.475,0.5364325,0.7581485,2019-04-02 17:00:00,1.90144679786007,8.566297,5.344946925,"interpolated",2.57965186542634,1.90144679786007
"38",0.475,0.5364325,0.7581485,2019-04-02 17:10:00,1.90144679786007,8.566297,5.344946925,"interpolated",2.57965186542634,1.90144679786007
"39",0.475,0.5364325,0.7581485,2019-04-02 17:20:00,1.90144679786007,8.566297,5.344946925,"interpolated",2.57965186542634,1.90144679786007
"40",0.477,0.5384259,0.7601419,2019-04-02 17:30:00,1.96853740015328,8.5702838,5.359000395,"interpolated",2.5872369759067,1.96853740015328
"41",0.479,0.5404193,0.7621353,2019-04-02 17:40:00,2.03781015364351,8.5742706,5.373053865,"interpolated",2.59482617024308,2.03781015364351
"42",0.477,0.5384259,0.7601419,2019-04-02 17:50:00,1.96853740015328,8.5702838,5.359000395,"interpolated",2.5872369759067,1.96853740015328
"43",0.477,0.5384259,0.7601419,2019-04-02 18:00:00,1.96853740015328,8.5702838,5.359000395,"interpolated",2.5872369759067,1.96853740015328
"44",0.477,0.5384259,0.7601419,2019-04-02 18:10:00,1.96853740015328,8.5702838,5.359000395,"interpolated",2.5872369759067,1.96853740015328
"45",0.479,0.5404193,0.7621353,2019-04-02 18:20:00,2.03781015364351,8.5742706,5.373053865,"interpolated",2.59482617024308,2.03781015364351
"46",0.477,0.5384259,0.7601419,2019-04-02 18:30:00,1.96853740015328,8.5702838,5.359000395,"interpolated",2.5872369759067,1.96853740015328
"47",0.476,0.5374292,0.7591452,2019-04-02 18:40:00,1.93472332431987,8.5682904,5.35197366,"interpolated",2.58344391012816,1.93472332431987
"48",0.477,0.5384259,0.7601419,2019-04-02 18:50:00,1.96853740015328,8.5702838,5.359000395,"interpolated",2.5872369759067,1.96853740015328
"49",0.478,0.5394226,0.7611386,2019-04-02 19:00:00,2.0028969869724,8.5722772,5.36602713,"interpolated",2.59103106264923,2.0028969869724
"50",0.48,0.541416,0.763132,2019-04-02 19:10:00,2.07328507758858,8.576264,5.3800806,"interpolated",2.59862229857559,2.07328507758858
"51",0.477,0.5384259,0.7601419,2019-04-02 19:20:00,1.96853740015328,8.5702838,5.359000395,"interpolated",2.5872369759067,1.96853740015328
"52",0.476,0.5374292,0.7591452,2019-04-02 19:30:00,1.93472332431987,8.5682904,5.35197366,"interpolated",2.58344391012816,1.93472332431987
"53",0.479,0.5404193,0.7621353,2019-04-02 19:40:00,2.03781015364351,8.5742706,5.373053865,"interpolated",2.59482617024308,2.03781015364351
"54",0.476,0.5374292,0.7591452,2019-04-02 19:50:00,1.93472332431987,8.5682904,5.35197366,"interpolated",2.58344391012816,1.93472332431987
"55",0.475,0.5364325,0.7581485,2019-04-02 20:00:00,1.90144679786007,8.566297,5.344946925,"interpolated",2.57965186542634,1.90144679786007
"56",0.477,0.5384259,0.7601419,2019-04-02 20:10:00,1.96853740015328,8.5702838,5.359000395,"interpolated",2.5872369759067,1.96853740015328
"57",0.477,0.5384259,0.7601419,2019-04-02 20:20:00,1.96853740015328,8.5702838,5.359000395,"interpolated",2.5872369759067,1.96853740015328
"58",0.482,0.5434094,0.7651254,2019-04-02 20:30:00,2.14595345767519,8.5802508,5.39413407,"interpolated",2.6062176170063,2.14595345767519
"59",0.478,0.5394226,0.7611386,2019-04-02 20:40:00,2.0028969869724,8.5722772,5.36602713,"interpolated",2.59103106264923,2.0028969869724
"60",0.477,0.5384259,0.7601419,2019-04-02 20:50:00,1.96853740015328,8.5702838,5.359000395,"interpolated",2.5872369759067,1.96853740015328
