,hobo_stage,hobo_stage_int,stage,r_timestamp,power_q,radius,area,int_or_ext,mannings_q,best_q,source
8197,0.469371092,0.469371092,0.691087092,4/2/19 10:45,0.559677152,8.432174183,4.872163997,interpolated,2.326861652,0.559677152,modeled
1,0.492,0.5533764,0.7750924,4/2/19 11:00,2.545931854,8.6001848,5.46440142,extrapolated,2.644255415,2.500546013,measured
2,0.485,0.5463995,0.7681155,4/2/19 11:10,2.259380032,8.586231,5.415214275,interpolated,2.617618247,2.259380032,measured
3,0.485,0.5463995,0.7681155,4/2/19 11:20,2.259380032,8.586231,5.415214275,interpolated,2.617618247,2.259380032,measured
4,0.48,0.541416,0.763132,4/2/19 11:30,2.073285078,8.576264,5.3800806,interpolated,2.598622299,2.073285078,measured
5,0.474,0.5354358,0.7571518,4/2/19 11:40,1.868699965,8.5643036,5.33792019,interpolated,2.575860842,1.868699965,measured
6,0.474,0.5354358,0.7571518,4/2/19 11:50,1.868699965,8.5643036,5.33792019,interpolated,2.575860842,1.868699965,measured
7,0.475,0.5364325,0.7581485,4/2/19 12:00,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
8,0.473,0.5344391,0.7561551,4/2/19 12:10,1.836475075,8.5623102,5.330893455,interpolated,2.57207084,1.836475075,measured
9,0.476,0.5374292,0.7591452,4/2/19 12:20,1.934723324,8.5682904,5.35197366,interpolated,2.58344391,1.934723324,measured
10,0.471,0.5324457,0.7541617,4/2/19 12:30,1.773560636,8.5583234,5.316839985,interpolated,2.5644939,1.773560636,measured
11,0.471,0.5324457,0.7541617,4/2/19 12:40,1.773560636,8.5583234,5.316839985,interpolated,2.5644939,1.773560636,measured
12,0.473,0.5344391,0.7561551,4/2/19 12:50,1.836475075,8.5623102,5.330893455,interpolated,2.57207084,1.836475075,measured
13,0.474,0.5354358,0.7571518,4/2/19 13:00,1.868699965,8.5643036,5.33792019,interpolated,2.575860842,1.868699965,measured
14,0.472,0.5334424,0.7551584,4/2/19 13:10,1.80476448,8.5603168,5.32386672,interpolated,2.568281859,1.80476448,measured
15,0.474,0.5354358,0.7571518,4/2/19 13:20,1.868699965,8.5643036,5.33792019,interpolated,2.575860842,1.868699965,measured
16,0.472,0.5334424,0.7551584,4/2/19 13:30,1.80476448,8.5603168,5.32386672,interpolated,2.568281859,1.80476448,measured
17,0.475,0.5364325,0.7581485,4/2/19 13:40,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
18,0.476,0.5374292,0.7591452,4/2/19 13:50,1.934723324,8.5682904,5.35197366,interpolated,2.58344391,1.934723324,measured
19,0.475,0.5364325,0.7581485,4/2/19 14:00,1.901446798,8.566297,5.344946925,interpolated,2.579651865,1.901446798,measured
20,0.474,0.5354358,0.7571518,4/2/19 14:10,1.868699965,8.5643036,5.33792019,interpolated,2.575860842,1.868699965,measured
21,0.472,0.5334424,0.7551584,4/2/19 14:20,1.80476448,8.5603168,5.32386672,interpolated,2.568281859,1.80476448,measured
